Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-08-11,1502424000000,159.85,12.33,1.22833,21.43731963334269,3.997874748141044,-3.997874748141044,-100.0,3.8365738151739066,2.8734261848261013,74.89563144755637,6.828715166108651,-6.828715166108651,-100.0,1.876753261130574,0.03774673886945834,2.011278714748008,2.081934437572152,-2.081934437572152,-100.0,6.7112944766160325,4.79420552338398,71.43488547683744,3.9586876987027257,-2.044187698702722,-51.63801376331375
2017-08-14,1502683200000,161.6,12.04,1.22833,21.432479036682906,4.040748856258418,-4.040748856258418,-100.0,3.877682038820268,3.4923179611797366,90.06199905555503,6.902702208564023,-6.902702208564023,-100.0,1.8965273956490591,0.6254726043509606,32.979887650760865,2.1039126503536068,-2.1039126503536068,-100.0,6.783953828392328,5.434046171607663,80.10146161173728,4.000440046002666,-1.4784400460026745,-36.95693546213664
2017-08-15,1502769600000,160.95,11.74,1.23056,21.557023768909225,4.047542616747322,-4.047542616747322,-100.0,3.884836995697994,3.785163004301992,97.4342812450978,6.8949334938179305,-6.8949334938179305,-100.0,1.9086090414000687,0.932890958599927,48.87805403644114,2.116424368158917,-2.116424368158917,-100.0,6.7773375784780825,5.721162421521896,84.41607571223624,4.0250334095589855,-1.1835334095589891,-29.40431268839248
2017-08-16,1502856000000,157.86,15.55,1.235,22.262260456377266,4.0973064279521045,-4.0973064279521045,-100.0,3.9371490147470793,-0.19714901474706886,-5.0074054603628895,6.873439179162903,-5.877639179162927,-85.51234725377681,1.9822864883540416,-1.9822864883540416,-100.0,2.192406131720894,-2.192406131720894,-100.0,6.7632439961197415,1.7125560038802805,25.321517379275694,4.174692620074936,-4.174692620074936,-100.0
2017-08-17,1502942400000,157.5,14.26,1.23556,22.225453204486193,4.081375457795502,-4.081375457795502,-100.0,3.921510864259375,-0.23151086425937706,-5.9036139965686605,6.852036443857897,-5.817036443857901,-84.89500153012524,1.9719677881278768,-1.9719677881278768,-100.0,2.1813483776306413,-2.1813483776306413,-100.0,6.741687846288443,1.6733121537115494,24.82037424252402,4.153316165758518,-4.153316165758518,-100.0
2017-08-18,1503028800000,157.21,13.19,1.23611,22.246902148458094,4.0777478365904045,-4.0777478365904045,-100.0,3.918106601525324,-1.1881066015253057,-30.32348841817561,6.842825764139775,-4.8565257641398025,-70.97251824810019,1.9716737661266777,-1.9716737661266777,-100.0,2.1808921864444666,-2.1808921864444666,-100.0,6.732761714327438,0.7135382856725698,10.598002958490977,4.152565952571145,-4.152565952571145,-100.0
2017-08-21,1503288000000,159.78,11.35,1.23444,22.59042333721184,4.207005821128973,-4.207005821128973,-100.0,4.044973933211367,2.2550260667886453,55.7488405122637,7.009330841090901,-7.009330841090901,-100.0,2.0587599098108242,-0.5521599098108041,-26.82002438358833,2.274142192348755,-2.274142192348755,-100.0,6.900649347793633,4.192750652206371,60.75878429537842,4.332902102159579,-2.826302102159559,-65.2288474450159
2017-08-22,1503374400000,159.98,12.25,1.23389,22.591719632957364,4.212473092997429,-4.212473092997429,-100.0,4.050310632747538,0.5396893672524641,13.324641396365305,7.018264643057506,-6.808864643057518,-97.01635645490902,2.061567056615118,-2.061567056615118,-100.0,2.2771833311921132,-2.2771833311921132,-100.0,6.909555997134718,2.4798440028652777,35.89006303579608,4.338750387807231,-4.338750387807231,-100.0
2017-08-23,1503460800000,159.27,12.23,1.23556,22.458457932910534,4.169638369447867,-4.169638369447867,-100.0,4.007977202384396,-0.03797720238439695,-0.9475403792667244,6.966051290389061,-6.1579512903890645,-88.39945377498272,2.0311399583374694,-2.0311399583374694,-100.0,2.244827698640435,-2.244827698640435,-100.0,6.856416696565049,1.8916833034349447,27.58996990924789,4.275967656977905,-4.275967656977905,-100.0
2017-08-24,1503547200000,159.86,11.28,1.23556,22.388573109248362,4.172321526951606,-4.172321526951606,-100.0,4.010061502045659,0.009938497954351531,0.2478390406052773,6.980704791313598,-6.204904791313624,-88.8865089816527,2.027512567154865,-2.027512567154865,-100.0,2.2414049448669644,-2.2414049448669644,-100.0,6.870077119213847,1.9457228807861495,28.321703628980547,4.2689175120218295,-4.2689175120218295,-100.0
