Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2017-09-07,1504756800000,158.63,12.12,1.23167,22.535396005903678,4.1665762176850905,-4.1665762176850905,-100.0,4.0060713265400665,-1.626071326540071,-40.59017411316199,8.172647544225157,-5.7926475442251615,-70.8784700781362,9.263602988082726,-3.71210298808272,-40.071913626460464,1.179623341494974,-1.179623341494974,-100.0,2.8264479850450925,-2.8264479850450925,-100.0
2017-09-08,1504843200000,161.5,10.73,1.23222,22.848939899813992,4.299844227286087,-4.299844227286087,-100.0,4.1363624818668265,1.1936375181331869,28.857178822356826,8.436206709152913,-3.1062067091529,-36.81994545940657,9.472074122987491,-6.727074122987517,-71.02007475492388,1.2417664648391806,-1.2417664648391806,-100.0,2.894596017027646,-2.894596017027646,-100.0
2017-09-11,1505102400000,160.86,10.58,1.235,22.816425262472514,4.277010546217952,-4.277010546217952,-100.0,4.1138094725567385,-0.35380947255671913,-8.600531330315258,8.39082001877469,-4.630820018774671,-55.18912345173754,9.430576626100445,-5.147576626100459,-54.583901177938756,1.2325356061222763,-1.2325356061222763,-100.0,2.881273866434462,-2.881273866434462,-100.00000000000001
2017-09-12,1505188800000,159.65,10.5,1.23611,22.922120845170802,4.264187531348624,-4.264187531348624,-100.0,4.102068561956486,-0.8620685619564767,-21.01545961351051,8.366256093305111,-5.126256093305101,-61.272999967180795,9.373415723393649,-4.630915723393669,-49.404783272719776,1.23690270247112,-1.23690270247112,-100.0,2.8651658594853657,-2.8651658594853657,-99.99999999999999
2017-09-13,1505275200000,158.28,10.44,1.23611,18.911459446161746,3.5023466770657734,-3.5023466770657734,-100.0,3.3416188945703884,-2.4716188945703834,-73.96471508424796,6.8439655716361605,-5.973965571636157,-87.28807164656708,8.810986453392715,-1.7669864533927324,-20.054354444187638,0.7442950600221252,-0.7442950600221252,-100.0,2.597323834548263,-2.597323834548263,-100.0
2017-09-14,1505361600000,159.88,10.17,1.2366700000000002,18.858961914826665,3.52819764015284,-0.3581976401528237,-10.152425591932168,3.3657715999772786,-3.3657715999772786,-100.0,6.8939692401301205,-3.723969240130103,-54.017781490127675,8.894249516120881,2.269750483879136,25.519303003195486,0.7459447779540902,-0.7459447779540902,-100.0,2.6198268220231884,-2.6198268220231884,-99.99999999999999
2017-09-15,1505448000000,158.67,10.15,1.23444,18.96919552143129,3.5213350682422373,4.528664931757773,128.6064757824472,3.360428824307533,-3.360428824307533,-100.0,6.8817638925497695,1.168236107450241,16.975823723260525,8.838941610065207,7.144558389934787,80.83047388613849,0.7525806783272593,-0.7525806783272593,-100.0,2.607848145980274,-2.607848145980274,-100.0
2017-09-18,1505707200000,158.73,10.18,1.23444,18.43797837513257,3.4263278487525497,6.883672151247453,200.9052389354289,3.2653607591971223,-3.2653607591971223,-100.0,6.691688607949673,3.6183113920503303,54.07172395547225,8.783929542463909,9.462570457536088,107.72593759764857,0.6945108073862691,-0.6945108073862691,-100.0,2.570849951810853,-2.570849951810853,-100.0
2017-09-19,1505793600000,156.07,9.78,1.23722,18.905055328980065,3.4523735177045585,7.3676264822954325,213.40757147257003,3.2937476701153368,-3.2937476701153368,-100.0,6.7461211878198934,4.073878812180098,60.38846173613774,8.687374943109546,9.936125056890432,114.37430894785244,0.733180387899818,-0.733180387899818,-100.0,2.5605672822155188,-2.5605672822155188,-99.99999999999999
2017-09-20,1505880000000,153.39,9.67,1.23611,19.37014654552832,3.4745288087402884,11.245471191259739,323.6545675768005,3.3187666495479533,-3.3187666495479533,-100.0,6.793295458288242,7.926704541711786,116.68423065628208,8.588522838345156,13.800977161654869,160.69092929505507,0.7710487871124236,-0.7710487871124236,-100.0,2.5477178624355297,-2.5477178624355297,-100.0
