Datetime,Timestamp,Price,VIX,5-Month-LIBOR,5-Month-VM,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI
2017-03-07,1488862800000,139.0,11.86,1.3157,17.157552275169653,3.627827536738764,6.262172463261223,172.6149437878352,9.790807506723896,-9.790807506723896,-100.0,13.41863504346266,-3.528635043462673,-26.296527419022148
2017-03-08,1488949200000,138.68,12.3,1.317,17.11056738835299,3.6040001838751583,6.681999816124844,185.40509087710709,9.75201825774016,-9.75201825774016,-100.0,13.356018441615317,-3.070018441615316,-22.986030268194348
2017-03-09,1489035600000,139.14,11.66,1.326633333,17.111124220835663,3.61801871415846,6.834981285841573,188.9150340514855,9.780677188229944,-9.780677188229944,-100.0,13.398695902388404,-2.9456959023883726,-21.984944832304784
2017-03-10,1489122000000,139.2,11.35,1.324406667,17.024110801852743,3.5899224398132934,6.250077560186711,174.10062933035874,9.756568575545046,-9.756568575545046,-100.0,13.346491015358339,-3.5064910153583355,-26.272755972512
2017-03-13,1489377600000,138.99,12.3,1.331813333,17.007850225654675,3.580495227047201,7.470004772952797,208.63049101487664,9.73342025394608,-9.73342025394608,-100.0,13.313915480993282,-2.2634154809932827,-17.000374414457532
2017-03-14,1489464000000,140.46,11.63,1.3340366670000001,17.043872130297856,3.6310040355511575,8.765995964448834,241.42071665635663,9.847664057043103,-9.847664057043103,-100.0,13.47866809259426,-1.0816680925942688,-8.025036933646152
2017-03-15,1489550400000,140.69,11.21,1.341536667,17.001789214863155,3.6241444807259033,9.12135551927409,251.6829990576732,9.846455950187886,-9.846455950187886,-100.0,13.47060043091379,-0.7251004309137965,-5.382836753510688
2017-03-16,1489636800000,139.99,11.28,1.337926667,17.021490583552552,3.612057918472004,9.158442081527966,253.55191661495363,9.805579120663653,-9.805579120663653,-100.0,13.417637039135657,-0.6471370391356874,-4.82303282797233
2017-03-17,1489723200000,141.46,11.34,1.3383,17.058771476435812,3.6627837814874984,3.784216218512477,103.3153045407355,9.921114965459623,-9.921114965459623,-100.0,13.58389874694712,-6.136898746947146,-45.17774212890366
2017-03-20,1489982400000,139.84,12.47,1.3412600000000001,17.093543330541944,3.6331517761730936,5.784848223826884,159.22396255958887,9.818036234379136,-9.818036234379136,-100.0,13.45118801055223,-4.0331880105522515,-29.983879545719557
