Datetime,Timestamp,Price,VIX,11-Month-LIBOR,11-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-04-15,1460692800000,14.51,13.35,1.160562162,,,,,,,,,,
2016-04-18,1460952000000,14.09,13.24,1.160832432,,,,,,,,,,
2016-04-19,1461038400000,13.63,13.28,1.1582513509999999,,,,,,,,,,
2016-04-20,1461124800000,13.24,13.95,1.163960811,,,,,,,,,,
2016-04-21,1461211200000,13.34,13.22,1.1641364859999999,,,,,,,,,,
2016-04-22,1461297600000,13.59,14.08,1.177636486,,,,,,,,,,
2016-04-25,1461556800000,14.18,13.96,1.174352703,,,,,,,,,,
2016-04-26,1461643200000,14.69,13.77,1.176710811,,,,,,,,,,
2016-04-27,1461729600000,15.35,15.22,1.180035135,,,,,,,,,,
2016-04-28,1461816000000,14.89,15.7,1.18162973,,,,,,,,,,
2016-04-29,1461902400000,14.0,14.68,1.168447297,,,,,,,,,,
2016-05-02,1462161600000,13.45,15.6,1.167947297,,,,,,,,,,
2016-05-03,1462248000000,13.39,16.05,1.17037973,,,,,,,,,,
2016-05-04,1462334400000,13.05,15.91,1.168951351,,,,,,,,,,
2016-05-05,1462420800000,10.22,14.72,1.169381081,,,,,,,,,,
2016-05-06,1462507200000,9.85,14.57,1.169381081,,,,,,,,,,
2016-05-09,1462766400000,10.0,13.63,1.166278378,,,,,,,,,,
2016-05-10,1462852800000,9.68,14.69,1.163954054,,,,,,,,,,
2016-05-11,1462939200000,9.28,14.41,1.164562162,,,,,,,,,,
2016-05-12,1463025600000,9.36,15.04,1.166312162,,,,,,,,,,
2016-05-13,1463112000000,9.16,14.68,1.167981081,,,,,,,,,,
2016-05-16,1463371200000,9.18,15.57,1.170927027,,,,,,,,,,
2016-05-17,1463457600000,9.4,15.95,1.179775676,,,,,,,,,,
2016-05-18,1463544000000,9.6,16.33,1.205552703,,,,,,,,,,
2016-05-19,1463630400000,9.39,15.2,1.2339108109999999,,,,,,,,,,
2016-05-20,1463716800000,9.46,15.82,1.236427027,,,,,,,,,,
2016-05-23,1463976000000,10.14,14.42,1.237710811,,,,,,,,,,
2016-05-24,1464062400000,10.0,13.9,1.247231081,,,,,,,,,,
2016-05-25,1464148800000,9.75,13.43,1.257032432,,,,,,,,,,
2016-05-26,1464235200000,9.63,13.12,1.255694595,,,,,,,,,,
2016-05-27,1464321600000,9.53,14.19,1.2526405409999999,,,,,,,,,,
2016-05-31,1464667200000,9.6,14.2,1.2526405409999999,,,,,,,,,,
2016-06-01,1464753600000,9.65,13.63,1.272262162,,,,,,,,,,
2016-06-02,1464840000000,9.46,13.47,1.263508108,,,,,,,,,,
2016-06-03,1464926400000,9.51,13.65,1.266467568,,,,,,,,,,
2016-06-06,1465185600000,9.57,14.05,1.265997297,,,,,,,,,,
2016-06-07,1465272000000,9.55,14.08,1.222902703,,,,,,,,,,
2016-06-08,1465358400000,9.34,14.64,1.221494595,,,,,,,,,,
2016-06-09,1465444800000,9.14,17.03,1.215662162,,,,,,,,,,
2016-06-10,1465531200000,8.92,20.97,1.211190541,,,,,,,,,,
2016-06-13,1465790400000,8.89,20.5,1.19817027,,,,,,,,,,
2016-06-14,1465876800000,9.06,20.14,1.192832432,,,,,,,,,,
2016-06-15,1465963200000,9.05,19.37,1.204264865,,,,,,,,,,
2016-06-16,1466049600000,9.04,19.41,1.179113514,,,,,,,,,,
2016-06-17,1466136000000,9.2,18.37,1.1809472970000001,,,,,,,,,,
2016-06-20,1466395200000,9.35,18.48,1.190798649,,,,,,,,,,
2016-06-21,1466481600000,8.78,21.17,1.1917040540000001,,,,,,,,,,
2016-06-22,1466568000000,9.13,17.25,1.190204054,,,,,,,,,,
2016-06-23,1466654400000,8.77,25.76,1.189048649,,,,,,,,,,
2016-06-24,1466740800000,8.62,23.85,1.146343243,,,,,,,,,,
2016-06-27,1467000000000,8.9,18.75,1.137268919,,,,,,,,,,
2016-06-28,1467086400000,9.3,16.64,1.146744595,,,,,,,,,,
2016-06-29,1467172800000,9.05,15.63,1.159001351,,,,,,,,,,
2016-06-30,1467259200000,9.27,14.77,1.1723391890000001,,,,,,,,,,
2016-07-01,1467345600000,8.94,15.58,1.167987838,,,,,,,,,,
2016-07-05,1467691200000,9.0,14.96,1.1769472970000001,,,,,,,,,,
2016-07-06,1467777600000,9.08,14.76,1.1757918920000001,,,,,,,,,,
2016-07-07,1467864000000,9.3,13.2,1.172541892,,,,,,,,,,
2016-07-08,1467950400000,9.24,13.54,1.187548649,,,,,,,,,,
2016-07-11,1468209600000,9.4,13.55,1.193291892,,,,,,,,,,
2016-07-12,1468296000000,9.29,13.04,1.209318919,,,,,,,,,,
2016-07-13,1468382400000,9.37,12.82,1.2242432429999999,,,,,,,,,,
2016-07-14,1468468800000,9.17,12.67,1.234127027,,,,,,,,,,
2016-07-15,1468555200000,9.27,12.44,1.238471622,,,,,,,,,,
2016-07-18,1468814400000,9.35,11.97,1.248759459,,,,,,,,,,
2016-07-19,1468900800000,9.58,11.77,1.2651783779999999,,,,,,,,,,
2016-07-20,1468987200000,9.46,12.74,1.268056757,,,,,,,,,,
2016-07-21,1469073600000,9.73,12.02,1.297035135,,,,,,,,,,
2016-07-22,1469160000000,9.85,12.87,1.309940541,,,,,,,,,,
2016-07-25,1469419200000,10.1,13.05,1.3241864859999999,,,,,,,,,,
2016-07-26,1469505600000,10.13,12.83,1.3370378379999999,,,,,,,,,,
2016-07-27,1469592000000,10.12,12.72,1.3517540540000001,,,,,,,,,,
2016-07-28,1469678400000,10.07,11.87,1.357983784,,,,,,,,,,
2016-07-29,1469764800000,10.19,12.44,1.371483784,,,,,,,,,,
2016-08-01,1470024000000,10.05,13.37,1.3732675680000002,,,,,,,,,,
2016-08-02,1470110400000,10.44,12.86,1.38292973,,,,,,,,,,
2016-08-03,1470196800000,11.32,12.42,1.395875676,,,,,,,,,,
2016-08-04,1470283200000,11.15,11.39,1.416362162,,,,,,,,,,
2016-08-05,1470369600000,11.26,11.5,1.4156189190000001,,,,,,,,,,
2016-08-08,1470628800000,11.3,11.66,1.447010811,,,,,,,,,,
2016-08-09,1470715200000,11.07,12.05,1.460767568,,,,,,,,,,
2016-08-10,1470801600000,11.37,11.68,1.463808108,,,,,,,,,,
2016-08-11,1470888000000,11.66,11.55,1.4598013509999999,,,,,,,,,,
2016-08-12,1470974400000,11.48,11.81,1.465348649,,,,,,,,,,
2016-08-15,1471233600000,11.64,12.64,1.4481183780000002,,,,,,,,,,
2016-08-16,1471320000000,11.4,12.19,1.440770811,,,,,,,,,,
2016-08-17,1471406400000,11.75,11.43,1.460425946,,,,,,,,,,
2016-08-18,1471492800000,11.8,11.34,1.457674865,,,,,,,,,,
2016-08-19,1471579200000,11.82,12.27,1.464824865,,,,,,,,,,
2016-08-22,1471838400000,12.39,12.38,1.4754378380000002,,,,,,,,,,
2016-08-23,1471924800000,12.16,13.45,1.473864865,,,,,,,,,,
2016-08-24,1472011200000,12.31,13.63,1.469212973,,,,,,,,,,
2016-08-25,1472097600000,12.04,13.65,1.469007027,,,,,,,,,,
2016-08-26,1472184000000,12.01,12.94,1.4788459459999999,,,,,,,,,,
2016-08-29,1472443200000,12.07,13.12,1.4788459459999999,,,,,,,,,,
2016-08-30,1472529600000,12.19,13.42,1.4979675680000002,,,,,,,,,,
2016-08-31,1472616000000,12.0,13.48,1.50609027,,,,,,,,,,
2016-09-01,1472702400000,12.05,11.98,1.500341081,,,,,,,,,,
2016-09-02,1472788800000,11.83,12.02,1.5030781080000002,,,,,,,,,,
2016-09-06,1473134400000,11.93,11.94,1.502441081,,,,,,,,,,
2016-09-07,1473220800000,11.78,12.51,1.4814018919999998,,,,,,,,,,
2016-09-08,1473307200000,11.27,17.5,1.4825118919999998,,,,,,,,,,
2016-09-09,1473393600000,11.33,15.16,1.4987405409999999,,,,,,,,,,
2016-09-12,1473652800000,11.23,17.85,1.5075718919999999,,,,,,,,,,
2016-09-13,1473739200000,11.28,18.14,1.496285946,,,,,,,,,,
2016-09-14,1473825600000,11.38,16.3,1.4988218919999998,,,,,,,,,,
2016-09-15,1473912000000,11.37,15.37,1.493742973,,,,,,,,,,
2016-09-16,1473998400000,11.55,15.53,1.488594865,,,,,,,,,,
2016-09-19,1474257600000,11.66,15.92,1.499170811,,,,,,,,,,
2016-09-20,1474344000000,11.9,13.3,1.506914324,,,,,,,,,,
2016-09-21,1474430400000,11.68,12.02,1.511752973,,,,,,,,,,
2016-09-22,1474516800000,11.83,12.29,1.502113784,,,,,,,,,,
2016-09-23,1474603200000,11.55,14.5,1.498276757,,,,,,,,,,
2016-09-26,1474862400000,11.78,13.1,1.496423784,,,,,,,,,,
2016-09-27,1474948800000,11.83,12.39,1.4927075680000002,,,,,,,,,,
2016-09-28,1475035200000,11.64,14.02,1.491265135,,,,,,,,,,
2016-09-29,1475121600000,11.66,13.29,1.496063784,,,,,,,,,,
2016-09-30,1475208000000,11.67,13.57,1.4927416219999998,,,,,,,,,,
2016-10-03,1475467200000,11.63,13.63,1.500120541,,,,,,,,,,
2016-10-04,1475553600000,11.69,12.99,1.506211622,,,,,,,,,,
2016-10-05,1475640000000,11.52,12.84,1.5127178380000001,,,,,,,,,,
2016-10-06,1475726400000,11.48,13.48,1.52091027,,,,,,,,,,
2016-10-07,1475812800000,11.47,13.38,1.5256443240000002,,,,,,,,,,
