Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-05-03,1399089600000,436.9381,12.91,0.1195,57.07424220834047,13.778837139383938,1.993862860616048,14.470472656339087,13.768823590549236,-13.768823590549236,-100.0,27.090574936364874,10.529030063635103,38.86602661024194,5.234157064971882,-5.234157064971882,-100.0,8.534666525577354,-8.534666525577354,-100.0
2014-05-04,1399176000000,434.0643,13.29,0.1195,35.479806243607186,8.512422722590513,-6.034722722590544,-70.89312783510412,8.502475034198369,-8.502475034198369,-100.0,23.30267149174131,0.8782435082586629,3.768853320401144,1.5900061877687859,-1.5900061877687859,-100.0,6.912468846429583,-6.912468846429583,-100.0
2014-05-05,1399262400000,429.7242,13.8,0.1195,33.56768656586605,7.973484173245537,0.7301158267544565,9.15679784258315,7.963635949293064,-7.963635949293064,-100.0,22.821092129920203,7.368717870079763,32.28906762274891,1.3255263171653695,-1.3255263171653695,-100.0,6.638109632127694,-6.638109632127694,-99.99999999999999
2014-05-06,1399348800000,426.992,13.4,0.1225,29.62724217310498,6.993582547928185,3.427417452071808,49.00803598989711,6.983551278364445,-6.983551278364445,-100.0,22.22146866307816,9.549131336921846,42.97254822219786,0.8623389569926658,-0.8623389569926658,-100.0,6.121212321371779,-6.121212321371779,-100.0
2014-05-07,1399435200000,436.9605,13.4,0.11905,35.98451732778632,8.691005019311433,-3.901705019311464,-44.89359988449974,8.681028666550816,-8.681028666550816,-100.0,23.52746362972107,3.1098613702788502,13.218005218166898,1.6699610945985128,-1.6699610945985128,-100.0,7.011067571952303,-7.011067571952303,-100.0
2014-05-08,1399521600000,435.343,13.43,0.11905,28.697944463619102,6.906756575700626,2.0664434242993366,29.919158169979593,6.896817152480793,-6.896817152480793,-100.0,22.558679101118685,8.181670898881238,36.26839524693406,0.7820866490598632,-0.7820866490598632,-100.0,6.11473050342093,-6.11473050342093,-100.0
2014-05-09,1399608000000,448.235,12.92,0.12175,35.43511803340309,8.77935570424438,-8.77935570424438,-100.0,8.768889846190433,-5.5471898461904345,-63.259887437180694,24.057333111434613,-4.867283111434631,-20.23201445018516,1.6356405462833337,-1.6356405462833337,-100.0,7.133249299907099,-7.133249299907099,-100.0
2014-05-10,1399694400000,452.7108,12.92,0.11875,30.23057215283425,7.565528957319202,-7.565528957319202,-100.0,7.5552190513622275,-1.2027190513622088,-15.919049377467813,23.627970844542517,-7.344930844542546,-31.085745334915398,0.982636433883428,-0.982636433883428,-100.0,6.572582617478799,-6.572582617478799,-100.0
2014-05-11,1399780800000,436.542,12.23,0.11875,42.40885364874342,10.231491411601382,-1.9644914116013297,-19.20044041061124,10.221549729259664,-10.221549729259664,-100.0,24.46846484128679,5.625635158713237,22.991369483960597,2.631920243062254,-2.631920243062254,-100.0,7.58962948619741,-7.58962948619741,-99.99999999999999
2014-05-12,1399867200000,438.4278,12.13,0.1205,41.42772781195999,10.038216032546188,-4.153216032546196,-41.3740451398986,10.028084263334993,-10.028084263334993,-100.0,24.417637057779075,3.38875294222089,13.878300075482885,2.486621877028469,-2.486621877028469,-100.0,7.541462386306524,-7.541462386306524,-100.0
2014-05-13,1399953600000,437.413,12.13,0.12075,40.97789679631928,9.906330927093931,38.51116907290603,388.7531050227439,9.896201637851703,-9.896201637851703,-100.0,24.290455333556338,45.99769466644358,189.36530433375412,2.4101825087762596,-2.4101825087762596,-100.0,7.486019129075444,-7.486019129075444,-99.99999999999999
2014-05-14,1400040000000,441.7498,12.17,0.11875,38.139474184812606,9.312000546601269,38.100699453398754,409.15697183141714,9.301940263315515,-9.301940263315515,-100.0,24.096093367922148,45.40409663207789,188.42928577178384,1.9990460988007044,-1.9990460988007044,-100.0,7.302894164514811,-7.302894164514811,-100.0
2014-05-15,1400126400000,444.3162,13.17,0.11875,37.958120799750375,9.321598252295928,72.41990174770405,776.9043439505333,9.311479522552474,-9.311479522552474,-100.0,24.209087803957058,79.74822219604289,329.4144035571954,1.9836650107007188,-1.9836650107007188,-100.0,7.327814511851756,-7.327814511851756,-100.0
