Datetime,Timestamp,Price,VIX,3-Month-LIBOR,3-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2017-07-14,1500004800000,26.190001000000002,9.82,1.30361,35.44861461888125,1.876171379503754,19.993828620496245,1065.6717631938611,1.79212189845164,-1.79212189845164,-100.0,,,
2017-07-17,1500264000000,26.59,9.89,1.30361,35.4088897755584,1.902745356238128,20.31725564376187,1067.7863738913877,1.8174121903029403,-1.8174121903029403,-100.0,,,
2017-07-18,1500350400000,26.360001,9.79,1.30611,35.47769816315827,1.889936299025754,20.610063700974244,1090.5163158990365,1.8051792793531172,-1.8051792793531172,-100.0,,,
2017-07-19,1500436800000,26.389999,9.58,1.30694,35.399898791833664,1.8880681589395376,12.741932841060464,674.8661472166963,1.8031608493461349,-1.8031608493461349,-100.0,,,
2017-07-20,1500523200000,26.85,9.36,1.30722,35.44690377117023,1.9234736928852476,13.776525307114749,716.2315428629387,1.8370678959789049,-1.8370678959789049,-100.0,,,
2017-07-21,1500609600000,26.75,9.43,1.3125,35.43570021177923,1.9158835016264144,10.464117498373586,546.1771286975687,1.829452374008346,-1.829452374008346,-100.0,,,
2017-07-24,1500868800000,26.889999,9.43,1.31444,35.43545228583454,1.925957902739844,10.40404409726016,540.2010128289663,1.838946214477355,-1.838946214477355,-100.0,,,
2017-07-25,1500955200000,27.309998999999998,9.6,1.31389,35.45791064987087,1.95723053368738,8.952771466312623,457.42038621509727,1.8688967103727008,-1.8688967103727008,-100.0,,,
2017-07-26,1501041600000,25.92,10.11,1.31667,35.83429691039417,1.8769133846903079,9.073085615309688,483.4045987053768,1.7928983934125942,-1.7928983934125942,-100.0,,,
2017-07-27,1501128000000,26.200001,10.29,1.31389,35.79745733423464,1.8952031829758087,9.50479381702419,501.5184599943505,1.810459633216672,-1.810459633216672,-100.0,,,
2017-07-28,1501214400000,26.35,10.26,1.31111,35.778461117259226,1.904982635841064,9.355018364158932,491.0815557134264,1.8199339565674568,-1.8199339565674568,-100.0,,,
2017-07-31,1501473600000,26.809998999999998,10.09,1.31056,35.8254057419789,1.9407003374521707,9.979300662547825,514.2113117602202,1.8542031820663527,-1.8542031820663527,-100.0,,,
2017-08-01,1501560000000,26.459999,10.28,1.31056,35.94243767911177,1.9214641558941297,9.708536844105874,505.26765301995056,1.83609620623432,-1.83609620623432,-100.0,,,
2017-08-02,1501646400000,25.219998999999998,10.44,1.31056,36.567335743553436,1.8624572298000643,11.217542770199932,602.2980066717636,1.781089894712391,-1.781089894712391,-100.0,,,
2017-08-03,1501732800000,25.209999,10.03,1.3127799999999998,36.56437797351934,1.8616366755380709,11.00836632446193,591.3273233768973,1.7801640502297378,-1.7801640502297378,-100.0,,,
2017-08-04,1501819200000,25.68,9.93,1.3116700000000001,36.63234386331653,1.8997482040611795,8.610250795938821,453.23115860998274,1.816826707843928,-1.816826707843928,-100.0,,,
2017-08-07,1502078400000,26.02,10.96,1.3119399999999999,36.660732037820814,1.9263634214579144,9.06363457854209,470.5049149906788,1.8423267880014649,-1.8423267880014649,-100.0,,,
2017-08-08,1502164800000,25.59,11.11,1.31139,36.81481989561138,1.90227762761495,9.537721372385047,501.3843002686896,1.8196643546913367,-1.8196643546913367,-100.0,,,
2017-08-09,1502251200000,24.65,16.04,1.3091700000000002,37.342425242460436,1.8579473871922008,11.2420526128078,605.0791691037714,1.7785032539721242,-1.7785032539721242,-100.0,,,
2017-08-10,1502337600000,24.82,15.51,1.30911,37.34045264555819,1.870662693951452,10.229335306048547,546.8294919829102,1.7906743303232826,-1.7906743303232826,-100.0,,,
2017-08-11,1502424000000,25.200001,12.33,1.315,37.20909104063581,1.892956377126234,8.567042622873762,452.5747516633057,1.811378565001416,-1.811378565001416,-100.0,,,
2017-08-14,1502683200000,24.83,12.04,1.31417,37.30723422774357,1.8699374463798757,9.170061553620128,490.39402742444673,1.7896080589222567,-1.7896080589222567,-100.0,,,
2017-08-15,1502769600000,24.99,11.74,1.31417,37.11194062129773,1.8723771597345331,8.277621840265471,442.0915838045726,1.7915301443271243,-1.7915301443271243,-100.0,,,
2017-08-16,1502856000000,24.540001,15.55,1.31667,37.2342832189677,1.8446436111098272,8.665354388890174,469.7576451462445,1.7651016369597468,-1.7651016369597468,-100.0,,,
2017-08-17,1502942400000,24.83,14.26,1.31639,37.22989111969328,1.8662197315204219,9.05378026847958,485.1400998264766,1.7857548654147453,-1.7857548654147453,-100.0,,,
2017-08-18,1503028800000,24.459999,13.19,1.31472,37.24281651635438,1.838985828476728,8.831016171523274,480.21121396232803,1.7598203944476225,-1.7598203944476225,-100.0,,,
2017-08-21,1503288000000,25.34,11.35,1.31444,37.34766967158764,1.9103707709516493,7.41962722904835,388.38676459398874,1.8283746287959204,-1.8283746287959204,-100.0,,,
2017-08-22,1503374400000,25.48,12.25,1.31722,37.33880891556696,1.920562586739015,8.769435413260982,456.6076353778655,1.8379393328276592,-1.8379393328276592,-100.0,,,
2017-08-23,1503460800000,25.66,12.23,1.31722,37.3002882525856,1.9321838886349632,9.717817111365036,502.94473360040365,1.8489769539659928,-1.8489769539659928,-100.0,,,
2017-08-24,1503547200000,24.99,11.28,1.31722,37.63204842456517,1.8980571949702918,11.211940805029707,590.7061617922001,1.8170228497879977,-1.8170228497879977,-100.0,,,
2017-08-25,1503633600000,24.91,11.32,1.31778,37.4109357875491,1.8811524228044745,14.348846577195527,762.7689496741507,1.8003432065777307,-1.8003432065777307,-100.0,,,
2017-08-28,1503892800000,25.040001,11.7,1.31778,37.30981081884422,1.8859840081212909,13.834012991878712,733.5169827690831,1.8047530625120205,-1.8047530625120205,-100.0,,,
2017-08-29,1503979200000,25.76,11.22,1.31694,37.43263608257275,1.9464183503376236,13.173582649662375,676.8114700201681,1.8629048759026483,-1.8629048759026483,-100.0,,,
2017-08-30,1504065600000,26.110001,10.59,1.3161100000000001,37.36369800895941,1.9692951835762853,12.760703816423714,647.9832948786268,1.8847002748530848,-1.8847002748530848,-100.0,,,
2017-08-31,1504152000000,25.93,10.13,1.31778,37.35687318456397,1.9554205375435103,14.414578462456491,737.1600218827992,1.871302393153325,-1.871302393153325,-100.0,,,
2017-09-01,1504238400000,25.77,12.23,1.3161100000000001,37.388515917354304,1.944910563937697,13.535089436062306,695.9234880527847,1.861417238993095,-1.861417238993095,-100.0,,,
2017-09-05,1504584000000,26.049999,11.63,1.3161100000000001,37.40229918211808,1.966749588541596,11.303251411458405,574.7173650022272,1.882349082863925,-1.882349082863925,-100.0,,,
2017-09-06,1504670400000,26.299999,11.55,1.31722,37.31517946740665,1.9811466055799087,11.778855394420091,594.5473879239877,1.8958643647932,-1.8958643647932,-100.0,,,
2017-09-07,1504756800000,26.530001000000002,12.12,1.31722,37.3063550315856,1.9980114025391862,11.74198759746082,587.6837130428003,1.911983340965735,-1.911983340965735,-100.0,,,
2017-09-08,1504843200000,27.57,10.73,1.31722,37.344093648079756,2.0783838430011627,12.911617156998837,621.2335224062657,1.9889834069597152,-1.9889834069597152,-100.0,,,
2017-09-11,1505102400000,27.27,10.58,1.31033,34.867083177150114,1.9225117693909135,16.097489230609085,837.3155102040837,1.8345459273848217,-1.8345459273848217,-100.0,,,
2017-09-12,1505188800000,27.49,10.5,1.31667,34.8374994709848,1.9366220167667016,15.583375983233305,804.6679139407192,1.8475181544895296,-1.8475181544895296,-100.0,,,
2017-09-13,1505275200000,28.639999,10.44,1.3191700000000002,35.298783289335596,2.043746081229795,13.636254918770206,667.2186454084739,1.9507387300713697,-1.9507387300713697,-100.0,,,
2017-09-14,1505361600000,28.5,10.17,1.32,35.30556181575429,2.03416379448924,14.58583520551076,717.0433002998723,1.9415529470505335,-1.9415529470505335,-100.0,,,
2017-09-15,1505448000000,28.690001000000002,10.15,1.32111,35.303350689676854,2.0476369747746634,15.23236302522534,743.8995882999046,1.954330449568712,-1.954330449568712,-100.0,,,
2017-09-18,1505707200000,28.559998999999998,10.18,1.32389,35.22806120791385,2.0342150549597413,14.835785945040257,729.3125625468283,1.9411361907972715,-1.9411361907972715,-100.0,,,
2017-09-19,1505793600000,28.469998999999998,9.78,1.325,35.16293950373164,2.024189216483069,15.025811783516932,742.312608977512,1.931326000141082,-1.931326000141082,-100.0,,,
2017-09-20,1505880000000,28.4,9.67,1.3230600000000001,35.17025611413714,2.0195576837523483,16.490442316247652,816.5373264114116,1.9270581999417489,-1.9270581999417489,-100.0,,,
