Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Puts,100-Puts-P,100-Puts-ROI
2016-08-19,1471579200000,11.82,12.27,0.6392800000000001,37.07297621083043,0.7139705714504974,-0.5039705714504983,-70.58702299544859,0.7015557977846498,-0.7015557977846498,-100.0,,,
2016-08-22,1471838400000,12.39,12.38,0.64678,37.99699548751776,0.7669268737557875,-0.7669268737557875,-100.0,0.7537608260669728,-0.4037608260669714,-53.56617273064503,,,
2016-08-23,1471924800000,12.16,13.45,0.6473300000000001,38.17122909865067,0.7561101500287268,-0.6961101500287263,-92.06464825294027,0.7431775261055762,-0.7431775261055762,-100.0,,,
2016-08-24,1472011200000,12.31,13.63,0.6551100000000001,38.20265841047607,0.7661349536534257,-0.7661349536534257,-100.0,0.7528855343533865,-0.6028855343533861,-80.07665267087015,,,
2016-08-25,1472097600000,12.04,13.65,0.64956,38.580495381775506,0.7566110770873395,-0.576611077087338,-76.20970595713031,0.7437619890919241,-0.7437619890919241,-100.0,,,
2016-08-26,1472184000000,12.01,12.94,0.65122,38.29016445007383,0.7491215523227384,-0.2991215523227373,-39.929641777796434,0.7362717428536305,-0.7362717428536305,-100.0,,,
2016-08-29,1472443200000,12.07,13.12,0.65367,38.28979421868614,0.7528797496596713,-0.3928797496596719,-52.18359901926804,0.7399171860621925,-0.7399171860621925,-100.0,,,
2016-08-30,1472529600000,12.19,13.42,0.65367,38.30622386631064,0.7606876727708123,-0.2006876727708118,-26.382401076621232,0.7475962353016099,-0.7475962353016099,-100.0,,,
2016-08-31,1472616000000,12.0,13.48,0.66356,38.500386338522134,0.7526782337373739,-0.2226782337373745,-29.58478454088947,0.7395959672553802,-0.7395959672553802,-100.0,,,
2016-09-01,1472702400000,12.05,11.98,0.6629999999999999,38.115939226954325,0.7483428577538787,-0.3383428577538785,-45.21227860307255,0.735217162343015,-0.735217162343015,-100.0,,,
