Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2012-12-28,1356670800000,33.220001,22.72,0.843,53.401082668341296,7.10489856994718,164.14510143005282,2310.308863864233,6.826031039629939,-6.826031039629939,-100.0,6.47379863933555,163.11520131066445,2519.62117449186,7.841987782502459,-7.841987782502459,-100.0,0.6310999306116294,4.368900069388371,692.2675566061715
2012-12-31,1356930000000,33.869999,18.02,0.8435,53.42435422040585,7.247004815851022,162.40300018414896,2240.967190044262,6.962512905696678,-6.962512905696678,-100.0,6.603619877910926,161.3528851720891,2443.400561437729,7.9984033222488655,-7.9984033222488655,-100.0,0.6433849379400955,4.3566150620599045,677.1397347299326
2013-01-02,1357102800000,35.36000100000001,14.68,0.8435,53.516109711862576,7.578248611388295,163.4817483886117,2157.249738982405,7.281241391885585,-7.281241391885585,-100.0,6.906832443527343,162.38516450647262,2351.0801200722626,8.362974913049502,-8.362974913049502,-100.0,0.6714161678609516,4.328583832139048,644.6946081041477
2013-01-03,1357189200000,34.77,14.56,0.8435,53.48406190409096,7.447530776376448,182.39247022362358,2449.032782814031,7.155479285141784,-7.155479285141784,-100.0,6.787223981638631,181.31427701836137,2671.4055335269322,8.21906991584224,-8.21906991584224,-100.0,0.6603067947378172,4.339693205262183,657.2237692912596
2013-01-04,1357275600000,34.400002,13.83,0.8435,53.471510962981405,7.3666246118760625,189.90337138812401,2577.888536385745,7.07768092816668,-7.07768092816668,-100.0,6.7133080861061405,188.83668781389386,2812.8708736712115,8.129917318211284,-8.129917318211284,-100.0,0.653316525769922,4.346683474230078,665.32581111546
2013-01-07,1357534800000,34.34,13.79,0.8425,53.46002679397232,7.3521274825168765,185.42786751748315,2522.0980996102785,7.064028304424219,-7.064028304424219,-100.0,6.6999230165554735,184.3630719834445,2751.7192589808033,8.114418879558183,-8.114418879558183,-100.0,0.652204465961403,4.347795534038597,666.6307516967994
2013-01-08,1357621200000,33.68,13.62,0.8395,53.463749179573476,7.2109018165216145,186.8990911834784,2591.896214080398,6.9293417186336,-6.9293417186336,-100.0,6.571259527060404,185.8547334729396,2828.296960538403,7.959621424277993,-7.959621424277993,-100.0,0.6396422894612108,4.360357710538789,681.6869025673153
2013-01-09,1357707600000,33.639999,13.81,0.8345,53.463915684032614,7.201690777452834,188.7483062225472,2620.888789247705,6.922133062704628,-6.922133062704628,-100.0,6.562836219778668,187.70516083022133,2860.1225833508875,7.951300569293053,-7.951300569293053,-100.0,0.6388545576741658,4.361145442325834,682.6507520276851
2013-01-10,1357794000000,33.529999,13.49,0.8345,53.43727283793468,7.174717722096611,196.5152842779034,2738.996736731229,6.8960741378340265,-6.8960741378340265,-100.0,6.5378772107131855,195.4756248392868,2989.894403629573,7.9218013972374735,-7.9218013972374735,-100.0,0.6368405113834257,4.363159488616574,685.1259319446193
2013-01-11,1357880400000,32.91,13.36,0.8340000000000001,53.28932126572237,7.023320251662861,192.56667974833718,2741.818297446205,6.749992213869928,-6.749992213869928,-100.0,6.397849778208702,191.5466502217913,2993.9222842368986,7.756355338526117,-7.756355338526117,-100.0,0.6254704734541594,4.374529526545841,699.3982469528114
2013-01-14,1358139600000,33.259998,13.52,0.823,53.29379761961742,7.0971293184613655,196.53287168153858,2769.188257149389,6.824522849242697,-6.824522849242697,-100.0,6.465079822363029,195.501921277637,3023.9676330273023,7.841842929683424,-7.841842929683424,-100.0,0.6320494960983369,4.367950503901663,691.0772860140179
