DATE,USD1WKD156N
2015-05-12,0.14875
2015-05-13,0.14575
2015-05-14,0.14675
2015-05-15,0.149
2015-05-18,0.1485
2015-05-19,0.1485
2015-05-20,0.1465
2015-05-21,0.1485
2015-05-22,0.14775
2015-05-25,.
2015-05-26,0.148
2015-05-27,0.14575
2015-05-28,0.15
2015-05-29,0.15025
2015-06-01,0.147
2015-06-02,0.1473
2015-06-03,0.1445
2015-06-04,0.14725
2015-06-05,0.1475
2015-06-08,0.1475
2015-06-09,0.147
2015-06-10,0.144
2015-06-11,0.1475
2015-06-12,0.1475
2015-06-15,0.1477
2015-06-16,0.1475
2015-06-17,0.144
2015-06-18,0.1472
2015-06-19,0.147
2015-06-22,0.148
2015-06-23,0.148
2015-06-24,0.146
2015-06-25,0.146
2015-06-26,0.146
2015-06-29,0.1475
2015-06-30,0.148
2015-07-01,0.149
2015-07-02,0.148
2015-07-03,0.148
2015-07-06,0.147
2015-07-07,0.1495
2015-07-08,0.149
2015-07-09,0.148
2015-07-10,0.1481
2015-07-13,0.149
2015-07-14,0.1485
2015-07-15,0.15
2015-07-16,0.15
2015-07-17,0.1481
2015-07-20,0.15
2015-07-21,0.149
2015-07-22,0.147
2015-07-23,0.149
2015-07-24,0.15
2015-07-27,0.151
2015-07-28,0.1505
2015-07-29,0.1469
2015-07-30,0.1495
2015-07-31,0.1491
2015-08-03,0.15
2015-08-04,0.1502
2015-08-05,0.149
2015-08-06,0.1505
2015-08-07,0.1497
2015-08-10,0.1491
2015-08-11,0.1506
2015-08-12,0.15075
2015-08-13,0.1518
2015-08-14,0.153
2015-08-17,0.1535
2015-08-18,0.1535
2015-08-19,0.155
2015-08-20,0.1541
2015-08-21,0.15275
2015-08-24,0.153
2015-08-25,0.1525
2015-08-26,0.1525
2015-08-27,0.1536
2015-08-28,0.1542
2015-08-31,.
2015-09-01,0.154
2015-09-02,0.1555
2015-09-03,0.1545
2015-09-04,0.1535
2015-09-07,0.1543
2015-09-08,0.154
2015-09-09,0.1551
2015-09-10,0.157
2015-09-11,0.1593
2015-09-14,0.161
2015-09-15,0.1621
2015-09-16,0.1646
2015-09-17,0.166
2015-09-18,0.1555
2015-09-21,0.15525
2015-09-22,0.1569
2015-09-23,0.1553
2015-09-24,0.15545
2015-09-25,0.1542
2015-09-28,0.1571
2015-09-29,0.15375
2015-09-30,0.15115
2015-10-01,0.15365
2015-10-02,0.15595
2015-10-05,0.157
2015-10-06,0.15645
2015-10-07,0.156
2015-10-08,0.1553
2015-10-09,0.15645
2015-10-12,0.1553
2015-10-13,0.15595
2015-10-14,0.1538
2015-10-15,0.1545
2015-10-16,0.1555
2015-10-19,0.1558
2015-10-20,0.15625
2015-10-21,0.15605
2015-10-22,0.15625
2015-10-23,0.1545
2015-10-26,0.1529
2015-10-27,0.1528
2015-10-28,0.1531
2015-10-29,0.1575
2015-10-30,0.1559
2015-11-02,0.15365
2015-11-03,0.1541
2015-11-04,0.15490
2015-11-05,0.15605
2015-11-06,0.15495
2015-11-09,0.1556
2015-11-10,0.1562
2015-11-11,0.15495
2015-11-12,0.15625
2015-11-13,0.1559
2015-11-16,0.1563
2015-11-17,0.15675
2015-11-18,0.1561
2015-11-19,0.15845
2015-11-20,0.1564
2015-11-23,0.1569
2015-11-24,0.1563
2015-11-25,0.15705
2015-11-26,0.15675
2015-11-27,0.1552
2015-11-30,0.1556
2015-12-01,0.1552
2015-12-02,0.15785
2015-12-03,0.15885
2015-12-04,0.15845
2015-12-07,0.16395
2015-12-08,0.1621
2015-12-09,0.1755
2015-12-10,0.2222
2015-12-11,0.2639
2015-12-14,0.2988
2015-12-15,0.3318
2015-12-16,0.341
2015-12-17,0.373
2015-12-18,0.38635
2015-12-21,0.3904
2015-12-22,0.39
2015-12-23,0.3906
2015-12-24,0.3897
2015-12-25,.
2015-12-28,.
2015-12-29,0.385
2015-12-30,0.392
2015-12-31,0.38975
2016-01-01,.
2016-01-04,0.3875
2016-01-05,0.38625
2016-01-06,0.38715
2016-01-07,0.3847
2016-01-08,0.38485
2016-01-11,0.38595
2016-01-12,0.3864
2016-01-13,0.3859
2016-01-14,0.3851
2016-01-15,0.3875
2016-01-18,0.3853
2016-01-19,0.3875
2016-01-20,0.3866
2016-01-21,0.3864
2016-01-22,0.3893
2016-01-25,0.38765
2016-01-26,0.38975
2016-01-27,0.39135
2016-01-28,0.3955
2016-01-29,0.39385
2016-02-01,0.3894
2016-02-02,0.3925
2016-02-03,0.3874
2016-02-04,0.3876
2016-02-05,0.3866
2016-02-08,0.3905
2016-02-09,0.3972
2016-02-10,0.3939
2016-02-11,0.3952
2016-02-12,0.3912
2016-02-15,0.3934
2016-02-16,0.3905
2016-02-17,0.3916
2016-02-18,0.392
2016-02-19,0.39305
