DATE,USD12MD156N
2017-08-18,1.72622
2017-08-21,1.72733
2017-08-22,1.72733
2017-08-23,1.72789
2017-08-24,1.72344
2017-08-25,1.72789
2017-08-28,.
2017-08-29,1.714
2017-08-30,1.71178
2017-08-31,1.71344
2017-09-01,1.71178
2017-09-04,1.71289
2017-09-05,1.71456
2017-09-06,1.70789
2017-09-07,1.709
2017-09-08,1.69511
2017-09-11,1.699
2017-09-12,1.70956
2017-09-13,1.71233
2017-09-14,1.71956
2017-09-15,1.73206
2017-09-18,1.73983
2017-09-19,1.74428
2017-09-20,1.74733
2017-09-21,1.76761
2017-09-22,1.77539
2017-09-25,1.77483
2017-09-26,1.77567
2017-09-27,1.78539
2017-09-28,1.78678
2017-09-29,1.78233
2017-10-02,1.79067
2017-10-03,1.79872
2017-10-04,1.79789
2017-10-05,1.80011
2017-10-06,1.80456
2017-10-09,1.809
2017-10-10,1.80678
2017-10-11,1.80956
2017-10-12,1.80844
2017-10-13,1.81289
2017-10-16,1.80956
2017-10-17,1.82122
2017-10-18,1.83456
2017-10-19,1.82789
2017-10-20,1.83122
2017-10-23,1.83511
2017-10-24,1.83456
2017-10-25,1.84456
2017-10-26,1.84289
2017-10-27,1.84789
2017-10-30,1.84233
2017-10-31,1.84844
2017-11-01,1.85594
2017-11-02,1.86317
2017-11-03,1.86289
2017-11-06,1.86428
2017-11-07,1.86844
2017-11-08,1.87317
2017-11-09,1.88178
2017-11-10,1.8815
2017-11-13,1.88428
2017-11-14,1.89261
2017-11-15,1.88622
2017-11-16,1.90067
2017-11-17,1.90622
2017-11-20,1.90844
2017-11-21,1.92733
2017-11-22,1.934
2017-11-23,1.93011
2017-11-24,1.93606
2017-11-27,1.94294
2017-11-28,1.93798
2017-11-29,1.94481
2017-11-30,1.95169
2017-12-01,1.96044
2017-12-04,1.98169
2017-12-05,1.9895
2017-12-06,1.98825
2017-12-07,1.99731
2017-12-08,2.01075
2017-12-11,2.01356
2017-12-12,2.02825
2017-12-13,2.03856
2017-12-14,2.04263
2017-12-15,2.04763
2017-12-18,2.05825
2017-12-19,2.06888
2017-12-20,2.08366
2017-12-21,2.09091
2017-12-22,2.10216
2017-12-25,.
2017-12-26,.
2017-12-27,2.11063
2017-12-28,2.10634
2017-12-29,2.10697
2018-01-01,.
2018-01-02,2.10933
2018-01-03,2.11782
2018-01-04,2.13834
2018-01-05,2.14953
2018-01-08,2.15075
2018-01-09,2.14633
2018-01-10,2.15552
2018-01-11,2.16406
2018-01-12,2.17313
2018-01-15,2.18869
2018-01-16,2.19563
2018-01-17,2.21438
2018-01-18,2.2275
2018-01-19,2.2275
2018-01-22,2.22781
2018-01-23,2.22469
2018-01-24,2.23063
2018-01-25,2.24063
2018-01-26,2.24594
2018-01-29,2.26406
2018-01-30,2.26313
2018-01-31,2.26671
2018-02-01,2.29278
2018-02-02,2.29051
2018-02-05,2.29309
2018-02-06,2.27825
2018-02-07,2.28588
2018-02-08,2.29809
2018-02-09,2.31349
