Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,109-Calls,109-Calls-P,109-Calls-ROI,109-Puts,109-Puts-P,109-Puts-ROI,107-Butterfly-Spreads,107-Butterfly-Spreads-P,107-Butterfly-Spreads-ROI
2014-03-27,1395892800000,478.1595,14.62,0.3295,149.8520753271164,182.43395562675977,-182.43395562675977,-100.0,215.07443092904163,-138.8216659290417,-64.54587155218017,185.11653464854072,-185.11653464854072,-100.0,208.2093468610604,-141.5197718610604,-67.96994178916357,179.80826562808065,-179.80826562808065,-100.0,221.99640402012483,-136.1804490201248,-61.3435382528897,0.056889023101803105,-0.056889023101803105,-100.0
2014-03-28,1395979200000,502.4399,14.41,0.32899999999999996,149.97053599398598,191.84713224546687,-191.84713224546687,-100.0,226.14637752675083,-110.8340845267508,-49.00988719734864,194.6646654802786,-194.6646654802786,-100.0,218.9314033731273,-113.66790837312729,-51.91941705110332,189.08931675239612,-189.08931675239612,-100.0,233.42106942211518,-108.05997842211515,-46.294012228476745,0.059717741740996644,-0.059717741740996644,-100.0
2014-03-29,1396065600000,493.1803,14.41,0.3289,149.97684345418233,188.3192835243242,-188.3192835243242,-100.0,221.98667860807282,-103.0822576080728,-46.43623583830861,191.08482547532444,-191.08482547532444,-100.0,214.90460009021805,-105.86378509021796,-49.260827849090155,185.61235563446357,-185.61235563446357,-100.0,229.12737118706727,-100.35934418706728,-43.800678926801176,0.058614061139621754,-0.058614061139621754,-100.0
2014-03-30,1396152000000,461.8695,13.88,0.3289,150.3299014616558,176.77346094061764,-176.77346094061764,-100.0,208.30339620695625,-116.0233312069562,-55.69920285489884,179.3599650491962,-179.3599650491962,-100.0,201.66748096476206,-118.62480596476203,-58.821980319915674,174.24168544093186,-174.24168544093186,-100.0,214.99404005804303,-113.47658505804304,-52.78127013539873,0.054728608892787634,-0.054728608892787634,-100.0
2014-03-31,1396238400000,458.4972,13.1,0.3289,146.4933221794669,171.04484978070892,-171.04484978070892,-100.0,202.3445719658661,-110.1096679658661,-54.41691214945993,173.64981472898998,-173.64981472898998,-100.0,195.79445425648083,-112.72949425648079,-57.57542760062592,168.49602355687045,-168.49602355687045,-100.0,208.9508283996942,-107.54598039969416,-51.46951616481439,0.05613872444263279,-0.05613872444263279,-100.0
2014-04-01,1396324800000,478.7163,13.1,0.3279,145.02295735278827,176.8027072812722,-176.8027072812722,-100.0,209.4852264054063,-73.45708540540629,-35.065520688914106,179.53749676865814,-179.53749676865814,-100.0,202.66115946056564,-76.20734446056562,-37.603329944134785,174.1272807042608,-174.1272807042608,-100.0,216.36865626062175,-70.76618926062184,-32.70630343767634,0.05936291037454566,-0.05936291037454566,-100.0
2014-04-02,1396411200000,437.515,13.09,0.32799999999999996,145.62589545689394,162.25523495400034,-162.25523495400034,-100.0,192.1246628694344,-98.71801286943438,-51.38226992571065,164.74904813551936,-164.74904813551936,-100.0,185.88231851982377,-101.22596851982374,-54.4570184651685,159.81539351461768,-159.81539351461768,-100.0,198.4209789611812,-96.26402896118122,-48.51504587124036,0.053971742136354806,-0.053971742136354806,-100.0
2014-04-03,1396497600000,447.0822,13.37,0.32799999999999996,145.63547576036555,165.81415208773242,-165.81415208773242,-100.0,196.3367388451548,-104.22748484515478,-53.086083357713356,168.36240684036258,-168.36240684036258,-100.0,189.9578013219453,-106.79019132194529,-56.217849742825024,163.3210447232971,-163.3210447232971,-100.0,202.770823756559,-101.71992575655905,-50.16497140568959,0.05514738819482545,-0.05514738819482545,-100.0
2014-04-04,1396584000000,448.8792,13.37,0.32799999999999996,145.63567015712678,166.48084592082816,-166.48084592082816,-100.0,197.126115013631,-98.157771013631,-49.79440243462594,169.03934126256348,-169.03934126256348,-100.0,190.72153616671585,-100.73077616671577,-52.815627532836025,163.97771953350681,-163.97771953350681,-100.0,203.58606281496014,-95.64013481496015,-46.97774174349435,0.05536895441395018,-0.05536895441395018,-100.0
2014-04-05,1396670400000,464.8259,13.96,0.3275,145.686899010928,172.45520357744599,-172.45520357744599,-100.0,204.19038843912,-78.81257543911997,-38.59759317839693,175.10408410748326,-175.10408410748326,-100.0,197.557753364266,-81.47645836426601,-41.24184294302841,169.86363372925516,-169.86363372925516,-100.0,210.88033419582013,-76.20600319582022,-36.13708385204688,0.05731068184644528,-0.05731068184644528,-100.0
