Datetime,Timestamp,Price,VIX,8-Month-LIBOR,8-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2017-01-18,1484715600000,119.78,12.78,1.459112973,21.353107047498305,8.808644663567073,40.641355336432916,461.3803472460103,7.664950450978793,-7.664950450978793,-100.0,12.046717576215727,43.392282423784245,360.20004743412613,4.971208074256887,-4.971208074256887,-100.0,2.6937423767219064,-2.6937423767219064,-100.0
2017-01-19,1484802000000,120.0,11.54,1.473703784,21.35294813567915,8.830323098052176,43.429676901947815,491.82432420312784,7.673125986143618,-7.673125986143618,-100.0,12.075337213331453,46.18466278666854,382.47099828963457,4.975999957018338,-4.975999957018338,-100.0,2.69712602912528,-2.69712602912528,-100.0
2017-01-20,1484888400000,120.08,11.77,1.479734595,21.33470721591376,8.831496546951762,43.31850345304823,490.5001459577068,7.668812252546196,-7.668812252546196,-100.0,12.079662321162216,46.07433767883778,381.4207421851576,4.9711122414769315,-4.9711122414769315,-100.0,2.697700011069265,-2.697700011069265,-100.0
2017-01-23,1485147600000,119.97,11.07,1.472010541,21.32322974393564,8.81605304119035,44.24394695880965,501.8566330317336,7.660468059616826,-7.660468059616826,-100.0,12.061083821668914,46.99741617833108,389.66163301092087,4.964778089174062,-4.964778089174062,-100.0,2.695689970442764,-2.695689970442764,-100.00000000000001
2017-01-24,1485234000000,121.88,10.81,1.462998919,21.37585210217604,8.973460750096734,44.14653924990327,491.96782021281336,7.806630694865526,-7.806630694865526,-100.0,12.267840602337401,46.946159397662605,382.67663331652614,5.065352049867761,-5.065352049867761,-100.0,2.741278644997765,-2.741278644997765,-100.0
2017-01-25,1485320400000,121.94,10.63,1.47419973,21.198327890383485,8.912894519890068,43.49710548010993,488.0244614478668,7.73659557514776,-7.73659557514776,-100.0,12.215409829781349,46.29159017021864,378.9605982548294,5.000925832276189,-5.000925832276189,-100.0,2.735669742871571,-2.735669742871571,-100.0
2017-01-26,1485406800000,121.95,10.58,1.480642973,21.147870185595746,8.896419173578174,43.48358082642184,488.7762140925805,7.714907113376384,-7.714907113376384,-100.0,12.201298557058776,46.27620144294123,379.2727571293566,4.98136209986707,-4.98136209986707,-100.0,2.733545013509314,-2.733545013509314,-100.0
2017-01-27,1485493200000,121.63,11.88,1.47722973,21.050316160589198,8.833756698236918,43.82624330176308,496.1223723821838,7.658048311121831,-7.658048311121831,-100.0,12.132914167758315,46.608585832241666,384.14996749996055,4.934491199998995,-4.934491199998995,-100.0,2.7235571111228367,-2.7235571111228367,-99.99999999999999
2017-01-30,1485752400000,121.35,11.99,1.475998919,21.050343399838813,8.812956158840588,45.11704384115942,511.9399555380851,7.640926924092297,-7.640926924092297,-100.0,12.104432087925074,47.893067912074926,395.66555096666815,4.923504314914227,-4.923504314914227,-100.0,2.7174226091780707,-2.7174226091780707,-100.0
2017-01-31,1485838800000,128.75,11.81,1.466108919,21.86578291368273,9.682529797922244,38.657470202077754,399.24968999706255,8.447321511507312,-8.447321511507312,-100.0,13.146455147769684,41.63104485223032,316.6712576453972,5.535507275675485,-5.535507275675485,-100.0,2.9118142358318266,-2.9118142358318266,-100.0
2017-02-01,1485925200000,128.53,11.93,1.4687113509999998,21.727464147372608,9.610117892448123,38.049882107551866,395.93564338531615,8.37484198231256,-8.37484198231256,-100.0,13.07287422552615,41.013625774473844,313.73074556466287,5.4728621108974025,-5.4728621108974025,-100.0,2.9019798714151577,-2.9019798714151577,-100.00000000000001
2017-02-02,1486011600000,129.08,10.97,1.4677981080000002,21.685218393232194,9.633405985236275,40.386594014763716,419.2348384014791,8.393611799506623,-8.393611799506623,-100.0,13.112323056593752,43.361676943406216,330.69408644260847,5.48051858015058,-5.48051858015058,-100.0,2.9130932193560426,-2.9130932193560426,-100.0
2017-02-03,1486098000000,130.29,11.37,1.4618772969999998,21.693500247102595,9.724719738484543,39.245280261515454,403.5620698271275,8.478327428225484,-8.478327428225484,-100.0,13.23554185392774,42.24895814607226,319.2083755417582,5.536969159181652,-5.536969159181652,-100.0,2.941358269043832,-2.941358269043832,-100.0
2017-02-06,1486357200000,131.53,11.29,1.460778919,21.70987782597582,9.823712330532985,37.10628766946702,377.7216435189917,8.566398670495554,-8.566398670495554,-100.0,13.367311684989474,40.139188315010536,300.2786892452275,5.596363707953926,-5.596363707953926,-100.0,2.970034962541628,-2.970034962541628,-100.0
2017-02-07,1486443600000,132.04,11.45,1.455400541,21.708425169169093,9.858938384397064,35.101061615602944,356.0328733888278,8.601374559918701,-8.601374559918701,-100.0,13.415934063888303,38.146065936111704,284.33402962816837,5.619248430633874,-5.619248430633874,-100.0,2.9821261292848273,-2.9821261292848273,-99.99999999999999
2017-02-08,1486530000000,132.42,10.88,1.4513581080000002,21.360714824754453,9.7381587322771,34.881841267722905,358.1975014651091,8.48046204272962,-8.48046204272962,-100.0,13.317089677609092,37.9239103223909,284.7762629860105,5.501277822538982,-5.501277822538982,-100.0,2.979184220190638,-2.979184220190638,-100.0
2017-02-09,1486616400000,132.12,10.85,1.456400541,21.36330851352518,9.719309259056047,32.38069074094395,333.15835393109825,8.46012304807676,-8.46012304807676,-100.0,13.29041794416311,35.415582055836886,266.4745548607123,5.488191043732777,-5.488191043732777,-100.0,2.9719320043439827,-2.9719320043439827,-99.99999999999999
2017-02-10,1486702800000,133.29,11.07,1.458734595,21.36813392271073,9.808426997207164,28.01157300279285,285.58680215256567,8.536063837456838,-8.536063837456838,-100.0,13.411166084885194,31.07333391511482,231.69748043114188,5.53792108312242,-5.53792108312242,-100.0,2.9981427543344186,-2.9981427543344186,-100.00000000000001
2017-02-13,1486962000000,135.02,10.74,1.456991351,21.356402061497842,9.929912458407316,26.560087541592665,267.4755457597731,8.642567911440409,-8.642567911440409,-100.0,13.579696854963428,29.661303145036555,218.42389754227275,5.605719535344846,-5.605719535344846,-100.0,3.0368483760955627,-3.0368483760955627,-100.0
2017-02-14,1487048400000,135.51,11.97,1.467283784,21.320604374305425,9.954843381086915,22.495156618913107,225.97197924430802,8.65374387696501,-8.65374387696501,-100.0,13.619942526563747,25.605557473436264,188.00048108496998,5.608397997647934,-5.608397997647934,-100.0,3.0453458793170753,-3.0453458793170753,-99.99999999999999
2017-02-15,1487134800000,135.345,11.76,1.487454595,21.299805317420628,9.942382305621237,21.682617694378767,218.0827192907259,8.625089776896813,-8.625089776896813,-100.0,13.605309895584467,24.78694010441552,182.1857811005098,5.5866319932962725,-5.5866319932962725,-100.0,3.03845778360054,-3.03845778360054,-100.0
2017-02-16,1487221200000,135.72,11.49,1.479984595,21.30036855180048,9.966952306702922,21.743047693297086,218.15141704525436,8.652611508643695,-8.652611508643695,-100.0,13.639434431843492,24.85656556815651,182.24044180398548,5.604810673687211,-5.604810673687211,-100.0,3.047800834956483,-3.047800834956483,-100.00000000000001
2017-02-17,1487307600000,136.7,11.57,1.479795405,21.309005165986868,10.042619565335599,21.037380434664414,209.4810054069931,8.718956649373787,-8.718956649373787,-100.0,13.74129202143034,24.173707978569652,175.92019688446584,5.6488122512666115,-5.6488122512666115,-100.0,3.0701443981071757,-3.0701443981071757,-100.00000000000001
2017-02-21,1487653200000,137.11,11.74,1.486606216,21.28753144362987,10.06627999958343,13.323720000416555,132.35991847005974,8.732566401262831,-8.732566401262831,-100.0,13.777356009036806,16.468143990963185,119.5305106448686,5.654828090632229,-5.654828090632229,-100.0,3.077738310630602,-3.077738310630602,-100.0
2017-02-22,1487739600000,136.53,11.71,1.487068649,21.294439053936934,10.026918370281834,9.933081629718174,99.06415174534806,8.698435518906628,-8.698435518906628,-100.0,13.722081091779229,13.06441890822076,95.20727082750976,5.633522382972785,-5.633522382972785,-100.0,3.0649131359338426,-3.0649131359338426,-99.99999999999999
2017-02-23,1487826000000,136.66,11.47,1.4862462159999998,21.207323980061826,9.99798684415849,16.372013155841515,163.75309760891682,8.668970887054357,-8.668970887054357,-100.0,13.69977478375931,19.503225216240693,142.36164845104759,5.604209624510382,-5.604209624510382,-100.0,3.064761262543975,-3.064761262543975,-100.00000000000001
2017-02-24,1487912400000,136.93,12.09,1.4835870269999998,21.171015878184573,10.000661792588645,12.609338207411339,126.08503785975395,8.671391059156576,-8.671391059156576,-100.0,13.7108849311973,15.745615068802678,114.84025391370342,5.601577734436823,-5.601577734436823,-100.0,3.069813324719753,-3.069813324719753,-99.99999999999999
2017-02-27,1488171600000,136.99,12.92,1.484052973,21.169330409563106,10.00450752525022,8.155492474749778,81.51818022192757,8.674238703094503,-8.674238703094503,-100.0,13.716454603943165,11.29304539605684,82.33210200550184,5.603199222895235,-5.603199222895235,-100.0,3.0710394801992678,-3.0710394801992678,-99.99999999999999
2017-02-28,1488258000000,139.79,12.54,1.498564595,21.26014966617592,10.256097506893157,6.363902493106849,62.049941401489704,8.885430275673931,-8.885430275673931,-100.0,14.041677867407653,9.56782213259234,68.13873828283978,5.750043997749393,-5.750043997749393,-100.0,3.135386277924538,-3.135386277924538,-99.99999999999999
