Datetime,Timestamp,Price,VIX,9-Month-LIBOR,9-Month-VM,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,97-Strips,97-Strips-P,97-Strips-ROI
2013-11-01,1383278400000,75.25,12.93,0.470545946,31.615318368468213,9.319562152134132,36.61793784786587,392.9147877347494,6.808435109266629,-6.808435109266629,-100.0,22.93643237066739,23.001067629332624,100.28180171013821
2013-11-04,1383541200000,75.0641,13.27,0.47233108100000004,31.614505197712628,9.296811197037464,32.961011802962524,354.54104750955815,6.7909295770536735,-6.7909295770536735,-100.0,22.878670351144812,19.37915264885519,84.70401623617732
2013-11-05,1383627600000,74.4171,12.67,0.472344595,31.612679325855584,9.216232129623712,33.229180870376275,360.5506068316986,6.731942264305808,-6.731942264305808,-100.0,22.680116658235328,19.76529634176466,87.14812467504538
2013-11-06,1383714000000,73.2131,13.91,0.471378378,31.592572055061712,9.061989095780953,35.851303904219044,395.62289829846037,6.61839856104087,-6.61839856104087,-100.0,22.29878621786269,22.61450678213732,101.41586434880351
2013-11-07,1383800400000,74.3657,12.9,0.471551351,31.630571064763302,9.214070089633312,34.14120091036668,370.5333319395814,6.731917926333544,-6.731917926333544,-100.0,22.6779059423004,20.67736505769959,91.17845849748737
2013-11-08,1383886800000,74.1497,12.53,0.46949054100000004,31.62004902429637,9.18417825174832,33.89061274825167,369.0108338413421,6.7103283037014485,-6.7103283037014485,-100.0,22.604834859151218,20.469956140848787,90.55565443585553
2013-11-11,1384146000000,74.2871,12.82,0.47030810799999995,31.53427072717053,9.180278296815565,31.16123470318444,339.4367109109708,6.701410004630863,-6.701410004630863,-100.0,22.58309830607729,17.758414693922717,78.63586498732899
2013-11-12,1384232400000,74.3763,12.52,0.46762973,31.52718060634969,9.188846286697236,32.78614271330276,356.803691022316,6.708425935712043,-6.708425935712043,-100.0,22.60569815812132,19.369290841878687,85.68322334658829
2013-11-13,1384318800000,75.4514,12.37,0.464605405,31.512727133910065,9.317243970439227,29.44489802956075,316.02583471013986,6.8026011597146265,-6.8026011597146265,-100.0,22.922446289868482,15.839695710131515,69.10124473552598
2013-11-14,1384405200000,74.9987,12.19,0.465091892,31.322869887632702,9.214244627313988,29.657016372686016,321.8605276093177,6.714428493401336,-6.714428493401336,-100.0,22.64310161411666,16.228159385883345,71.66933074118269
2013-11-15,1384491600000,74.0898,13.1,0.465105405,31.108161905660747,9.049820546863806,28.81307345313619,318.3828154815876,6.580292217414857,-6.580292217414857,-100.0,22.21040498169352,15.65248901830649,70.47367677990445
2013-11-18,1384750800000,74.2214,13.39,0.463835135,30.94989703381224,9.026598713640587,27.2036432863594,301.3720244952341,6.553358131091418,-6.553358131091418,-100.0,22.133314975823424,14.096927024176566,63.690988175855566
2013-11-19,1384837200000,73.5714,13.4,0.458159459,30.953973812500077,8.947056384230514,26.433685615769487,295.4456134015176,6.4984613983533075,-6.4984613983533075,-100.0,21.943979180937127,13.436762819062885,61.23211614571475
2013-11-20,1384923600000,74.44800000000002,12.66,0.45691621600000004,30.95828768328754,9.054396082580288,28.141043917419672,310.79978897278517,6.577288078870088,-6.577288078870088,-100.0,22.208972240320463,14.986467759679513,67.47933941973024
2013-11-21,1385010000000,74.2571,12.26,0.456159459,30.947808434984488,9.028397646520963,31.592215353479038,349.92051292349646,6.558043313684973,-6.558043313684973,-100.0,22.14448427389091,18.47612872610911,83.43445030188887
2013-11-22,1385096400000,74.82,12.79,0.4567216220000001,30.92815664504179,9.092109260983797,30.1124907390162,331.19367436811825,6.602727819909687,-6.602727819909687,-100.0,22.29756490080317,16.907035099196843,75.82458073073192
2013-11-25,1385355600000,76.2,12.81,0.45891351399999997,30.98024932340488,9.273567388580114,29.752432611419874,320.83049990080787,6.737076743935803,-6.737076743935803,-100.0,22.74772087645172,16.278279123548277,71.56004424337489
2013-11-26,1385442000000,77.9943,12.98,0.45860810799999996,30.896146236229573,9.470091976555274,27.415437023444728,289.4949393450035,6.874044304659858,-6.874044304659858,-100.0,23.21818058587499,13.66734841412503,58.86485533857764
2013-11-27,1385528400000,79.4385,13.7,0.459275676,30.91995844389329,9.651910278399493,25.302744721600494,262.15271372991117,7.0074130494438585,-7.0074130494438585,-100.0,23.666736377287208,11.287918622712795,47.695290312802605
2013-11-29,1385701200000,78.7471,14.23,0.4585324320000001,30.92979878002594,9.57026598894288,28.035047011057106,292.93905773828783,6.9492039126262215,-6.9492039126262215,-100.0,23.468673814195324,14.136639185804672,60.236208052173566
2013-12-02,1385960400000,80.9031,14.55,0.456975676,30.753959851916772,9.784652851972359,25.649340148027626,262.13847886138655,7.0927299315017365,-7.0927299315017365,-100.0,23.970112714975834,11.463880285024167,47.82572539953834
2013-12-03,1386046800000,80.7143,14.7,0.457462162,30.544674922029447,9.70592709863773,24.52120190136226,252.6415215379469,7.020005401697475,-7.020005401697475,-100.0,23.74593790203268,10.481191097967326,44.13888026326441
2013-12-04,1386133200000,81.1287,15.08,0.457462162,30.504082356363806,9.744835224491737,21.940325775508256,225.14824797001737,7.045123580154153,-7.045123580154153,-100.0,23.835082384800046,7.850078615199962,32.934975799395865
2013-12-05,1386219600000,80.0028,13.79,0.45467027,30.525054636193115,9.614365194772633,22.112918805227366,229.99873998181647,6.953717293085231,-6.953717293085231,-100.0,23.521799780943095,8.205484219056917,34.884593421736554
