Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,102-Calls.1,102-Calls-P.1,102-Calls-ROI.1,102-Puts.1,102-Puts-P.1,102-Puts-ROI.1,102-Calls.1.1,102-Calls-P.1.1,102-Calls-ROI.1.1,102-Puts.1.1,102-Puts-P.1.1,102-Puts-ROI.1.1,102-Calls.1.1.1,102-Calls-P.1.1.1,102-Calls-ROI.1.1.1,102-Puts.1.1.1,102-Puts-P.1.1.1,102-Puts-ROI.1.1.1,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI
2011-01-27,1296104400000,49.1214,16.64,0.25375,31.836659302512214,0.8650990395353801,-0.4864990395353814,-56.236224675115366,0.8627086350489428,-0.8627086350489428,-100.0,0.4686735270296669,-0.4686735270296669,-100.0,1.4486633144534975,-0.8448353144534977,-58.31826526042792,0.4686735270296669,-0.4686735270296669,-100.0,1.4486633144534975,-0.8448353144534977,-58.31826526042792,0.4686735270296669,-0.4686735270296669,-100.0,1.4486633144534975,-0.8448353144534977,-58.31826526042792,0.4686735270296669,-0.4686735270296669,-100.0,1.4486633144534975,-0.8448353144534977,-58.31826526042792,0.4686735270296669,-0.4686735270296669,-100.0,1.4486633144534977,-0.8448353144534977,-58.318265260427914
2011-01-28,1296190800000,49.03,16.15,0.25375,28.381739092483397,0.7699256898028182,0.46867431019718,60.872668155443655,0.7675397331328213,-0.7675397331328213,-100.0,0.3833666310565622,-0.12536663105656665,-32.70149796581277,1.3615329552531603,-1.3615329552531603,-100.0,0.3833666310565622,-0.12536663105656665,-32.70149796581277,1.3615329552531603,-1.3615329552531603,-100.0,0.3833666310565622,-0.12536663105656665,-32.70149796581277,1.3615329552531603,-1.3615329552531603,-100.0,0.3833666310565622,-0.12536663105656665,-32.70149796581277,1.3615329552531603,-1.3615329552531603,-100.0,0.3833666310565622,-0.12536663105656665,-32.70149796581277,1.3615329552531605,-1.3615329552531605,-100.0
2011-01-31,1296450000000,48.0143,20.04,0.25375,31.25789957276947,0.8302528629082744,1.898247137091729,228.63481981168988,0.8279163334499735,-0.8279163334499735,-100.0,0.4441156706180252,1.3240983293819752,298.1426725022737,1.4020184105705624,-1.4020184105705624,-100.0,0.4441156706180252,1.3240983293819752,298.1426725022737,1.4020184105705624,-1.4020184105705624,-100.0,0.4441156706180252,1.3240983293819752,298.1426725022737,1.4020184105705624,-1.4020184105705624,-100.0,0.4441156706180252,1.3240983293819752,298.1426725022737,1.4020184105705624,-1.4020184105705624,-100.0,0.44411567061802515,1.3240983293819752,298.1426725022737,1.4020184105705624,-1.4020184105705624,-100.0
2011-02-01,1296536400000,48.4743,19.53,0.25375,29.229838062179322,0.7839071623390268,1.9074928376609748,243.3314720545972,0.7815482478089741,-0.7815482478089741,-100.0,0.3993085105673515,1.3226054894326469,331.2239670407832,1.3663884177466985,-1.3663884177466985,-100.0,0.3993085105673515,1.3226054894326469,331.2239670407832,1.3663884177466985,-1.3663884177466985,-100.0,0.3993085105673515,1.3226054894326469,331.2239670407832,1.3663884177466985,-1.3663884177466985,-100.0,0.3993085105673515,1.3226054894326469,331.2239670407832,1.3663884177466985,-1.3663884177466985,-100.0,0.3993085105673515,1.3226054894326467,331.2239670407832,1.3663884177466983,-1.3663884177466983,-100.0
2011-02-02,1296622800000,49.29,17.63,0.25375,26.06023061113376,0.7108031914934649,0.6477968085065378,91.13588912641985,0.7084045823916014,-0.7084045823916014,-100.0,0.3297672216691172,0.043032778330880816,13.049440788284034,1.313120640385229,-1.313120640385229,-100.0,0.3297672216691172,0.043032778330880816,13.049440788284034,1.313120640385229,-1.313120640385229,-100.0,0.3297672216691172,0.043032778330880816,13.049440788284034,1.313120640385229,-1.313120640385229,-100.0,0.3297672216691172,0.043032778330880816,13.049440788284034,1.313120640385229,-1.313120640385229,-100.0,0.3297672216691172,0.043032778330880816,13.049440788284036,1.313120640385229,-1.313120640385229,-100.0
2011-02-03,1296709200000,49.1886,17.3,0.253,19.910116015663487,0.5422306978423848,1.2477693021576144,230.11779066044602,0.5398440979177614,-0.5398440979177614,-100.0,0.19030217906117566,0.6159258209388216,323.65673581741936,1.17163984713806,-1.17163984713806,-100.0,0.19030217906117566,0.6159258209388216,323.65673581741936,1.17163984713806,-1.17163984713806,-100.0,0.19030217906117566,0.6159258209388216,323.65673581741936,1.17163984713806,-1.17163984713806,-100.0,0.19030217906117566,0.6159258209388216,323.65673581741936,1.17163984713806,-1.17163984713806,-100.0,0.19030217906117564,0.6159258209388216,323.65673581741936,1.17163984713806,-1.17163984713806,-100.0
2011-02-04,1296795600000,49.0628,16.69,0.252,19.092637625625073,0.5186833268601241,1.7299166731398719,333.5207791644298,0.5163122395208289,-0.5163122395208289,-100.0,0.1726907744451971,1.0946532255547972,633.8805469322753,1.1515282653591117,-1.1515282653591117,-100.0,0.1726907744451971,1.0946532255547972,633.8805469322753,1.1515282653591117,-1.1515282653591117,-100.0,0.1726907744451971,1.0946532255547972,633.8805469322753,1.1515282653591117,-1.1515282653591117,-100.0,0.1726907744451971,1.0946532255547972,633.8805469322753,1.1515282653591117,-1.1515282653591117,-100.0,0.1726907744451971,1.0946532255547972,633.8805469322753,1.1515282653591115,-1.1515282653591115,-100.0
2011-02-07,1297054800000,49.5,15.93,0.253,19.357200171165733,0.5305443312411741,1.3837556687588233,260.8181045911125,0.5281426223844683,-0.5281426223844683,-100.0,0.1797799220568841,0.7445200779431111,414.1286020290619,1.167330179023054,-1.167330179023054,-100.0,0.1797799220568841,0.7445200779431111,414.1286020290619,1.167330179023054,-1.167330179023054,-100.0,0.1797799220568841,0.7445200779431111,414.1286020290619,1.167330179023054,-1.167330179023054,-100.0,0.1797799220568841,0.7445200779431111,414.1286020290619,1.167330179023054,-1.167330179023054,-100.0,0.1797799220568841,0.7445200779431111,414.1286020290619,1.167330179023054,-1.167330179023054,-100.0
2011-02-08,1297141200000,50.2686,16.28,0.253,20.95582399307829,0.5831739820039701,1.0239260179960326,175.57813784447296,0.5807349811588374,-0.5807349811588374,-100.0,0.217462086714642,0.3842659132853594,176.70478522980454,1.2203463058526085,-1.2203463058526085,-100.0,0.217462086714642,0.3842659132853594,176.70478522980454,1.2203463058526085,-1.2203463058526085,-100.0,0.217462086714642,0.3842659132853594,176.70478522980454,1.2203463058526085,-1.2203463058526085,-100.0,0.217462086714642,0.3842659132853594,176.70478522980454,1.2203463058526085,-1.2203463058526085,-100.0,0.21746208671464196,0.3842659132853594,176.70478522980454,1.2203463058526083,-1.2203463058526083,-100.0
2011-02-09,1297227600000,50.7428,15.81,0.2525,12.090344974692185,0.340160125498727,0.10273987450126754,30.20338564099337,0.3377029822800317,-0.3377029822800317,-100.0,0.050162683698265376,-0.050162683698265376,-100.0,1.0625123976152082,-0.490556397615201,-46.16947517188946,0.050162683698265376,-0.050162683698265376,-100.0,1.0625123976152082,-0.490556397615201,-46.16947517188946,0.050162683698265376,-0.050162683698265376,-100.0,1.0625123976152082,-0.490556397615201,-46.16947517188946,0.050162683698265376,-0.050162683698265376,-100.0,1.0625123976152082,-0.490556397615201,-46.16947517188946,0.050162683698265376,-0.050162683698265376,-100.0,1.0625123976152082,-0.490556397615201,-46.16947517188946
