Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2015-04-14,1428984000000,207.830002,12.84,0.1375,13.841737648167223,1.3451519095490028,10.264848090450982,763.0995441914469,1.3412373402137234,-1.3412373402137234,-100.0,,,,0.001270457005804915,1.2172294429941786,95810.36095141107,10.388660259203759,-10.388660259203759,-100.0,1.343881452543198,3.656118547456802,272.05662676107806
2015-04-15,1429070400000,206.699997,12.6,0.138166667,9.617004602123158,0.9301167076041708,10.969892292395839,1179.4103043963694,0.9262045460440902,-0.9262045460440902,-100.0,,,,3.700064084954068e-06,1.5650054499359238,42296712.00290445,10.330895780426005,-10.330895780426005,-100.0,0.9301130075400859,4.069886992459914,437.56908670955346
2015-04-16,1429156800000,206.78999299999998,13.89,0.138666667,8.23525709912943,0.7971163769955751,10.842883623004413,1360.2635619998812,0.7931883486730982,-0.7931883486730982,-100.0,,,,7.903264440432763e-08,1.30050027096732,1645522911.158099,10.335375299294043,-10.335375299294043,-100.0,0.7971162979629307,4.202883702037069,527.2610424322952
2015-04-17,1429243200000,205.270004,13.3,0.1385,8.575268965418443,0.8238429388188422,25.456156061181158,3089.928293574755,0.8199484695227852,-0.8199484695227852,-100.0,,,,2.377129910197313e-07,16.016498562286998,6737746428.40515,10.259411244952162,-10.259411244952162,-100.0,0.8238427011058511,4.176157298894148,506.91197400771495
2015-04-20,1429502400000,209.41000400000001,13.25,0.1365,17.184248924587845,1.6821750108268247,19.387816989173192,1152.5445845045374,1.6782593672237596,-1.6782593672237596,-100.0,,,,0.010888245146318587,10.588603554853693,97248.02677164,10.477277019363099,-10.477277019363099,-100.0,1.6712867656805062,3.328713234319494,199.17068109877155
2015-04-21,1429588800000,219.440002,12.71,0.139,36.20733325726269,3.711666139750108,9.298328860249896,250.5163048117231,3.707487801410053,-3.707487801410053,-100.0,,,,0.5906480156794451,1.447346884320556,245.04389177632592,11.558260860422337,-11.558260860422337,-100.0,3.121018124070663,1.878981875929337,60.2041321528319
2015-04-22,1429675200000,218.600006,12.48,0.139166667,35.76360540046709,3.652179783461392,3.7978172165386033,103.98768521026042,3.648012448630824,-3.648012448630824,-100.0,,,,0.5646557910998062,-0.5646557910998062,-100.0,11.490280389527696,-8.010277089527676,-69.71350409193046,3.087523992361586,1.9124760076384142,61.94206141781588
2015-04-23,1429761600000,218.42999300000002,12.29,0.140333333,36.003152496149085,3.673782493692869,3.9262235063071667,106.87141966209722,3.6695834917320553,-3.6695834917320553,-100.0,,,,0.5769740811018913,-0.5769740811018913,-100.0,11.494064779043045,-8.172571129043062,-71.1025323603882,3.0968084125909776,1.9031915874090224,61.45654925474376
2015-04-24,1429848000000,231.55000299999998,13.12,0.1383,44.21186530135914,4.781663234384354,-4.781663234384354,-100.0,4.77727651355258,-3.737268513552607,-78.23010669259797,,,,1.1396620785092109,-1.1396620785092109,-100.0,12.71255617163581,-0.09504802163581873,-0.7476704161818326,3.6420011558751426,1.3579988441248574,37.28716126117048
2015-04-27,1430107200000,230.479996,12.41,0.138166667,48.86276957086385,5.259891818511278,-2.7898908185112816,-53.04084028292644,5.255529578579981,-5.255529578579981,-100.0,,,,1.4775008411014312,-1.4775008411014312,-100.0,12.996920289173547,-3.942921489173529,-30.33735224534683,3.7823909774098468,1.2176090225901532,32.19151668514086
2015-04-28,1430193600000,232.44999700000002,13.39,0.136833333,42.35967029713155,4.599260375003453,-4.599260375003453,-100.0,4.594903305174952,-2.574899305174952,-56.03816085259082,,,,1.0145415164044564,-1.0145415164044564,-100.0,12.632466443084553,1.0100374069154725,7.995567702207527,3.584718858598997,1.4152811414010031,39.48095226508593
2015-04-29,1430280000000,226.05000299999998,14.55,0.137666667,50.52337862465785,5.333984776140512,5.416015223859488,101.53788304919632,5.329721864214889,-5.329721864214889,-100.0,,,,1.5753991761045754,-1.5753991761045754,-100.0,12.873423268582686,-12.320923118582671,-95.70821110692152,3.7585856000359366,1.2414143999640634,33.02876486176593
2015-04-30,1430366400000,226.02999900000003,12.7,0.140666667,50.461392685211926,5.327019070534703,5.2529829294652775,98.61017690965393,5.3226636485800345,-5.3226636485800345,-100.0,,,,1.5705122442411223,-1.5705122442411223,-100.0,12.867439001188727,-12.145941051188686,-94.39283955468227,3.756506826293581,1.243493173706419,33.102380248655955
2015-05-01,1430452800000,230.50999500000003,12.85,0.1394,28.1130219638386,3.0278757893700856,5.952134210629879,196.5778857747712,3.0234740377947564,-3.0234740377947564,-100.0,,,,0.2371317149290775,-0.2371317149290775,-100.0,11.758009625775006,-9.212519875774944,-78.35101491650397,2.790744074441008,2.209255925558992,79.16368777031303
