Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,102-Calls,102-Calls-P,102-Calls-ROI,102-Puts,102-Puts-P,102-Puts-ROI,100-Butterfly-Spreads,100-Butterfly-Spreads-P,100-Butterfly-Spreads-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2012-07-23,1343016000000,30.66,18.62,0.24675,52.95923890195259,1.8582522538552304,-1.8582522538552304,-100.0,1.8520347843535043,0.6679662156464959,36.06661285682413,2.162768391097321,-2.162768391097321,-100.0,1.543475270985626,0.3633257290143757,23.53945902757254,1.5858221850741554,-1.5858221850741554,-100.0,2.192680366182396,0.9405206338176076,42.893649631894014,0.03208606846101558,-0.03208606846101558,-100.0,5.568539292063965,-3.0485382920639648,-54.745744479321644
2012-07-24,1343102400000,29.84,20.47,0.2462,52.69203942718253,1.7994548528328649,-1.7994548528328649,-100.0,1.793417155790868,0.10658184420913308,5.942947733324889,2.0959988505995355,-2.0959988505995355,-100.0,1.4932819074983783,-0.19008290749838253,-12.729204482013653,1.534297595316385,-1.534297595316385,-100.0,2.1249391443335535,0.3718598556664503,17.499788483734537,0.03138674025019084,-0.03138674025019084,-100.0,5.392326861456597,-3.4923278614565962,-64.76476577151027
2012-07-25,1343188800000,28.950001,19.34,0.2442,53.16777997597735,1.7614678626811349,-1.7614678626811349,-100.0,1.7556578236553513,-1.3556558236553506,-77.21640318458068,2.0488674432375493,-1.869869423237548,-91.26356267747828,1.4641735849922757,-1.4641735849922757,-100.0,1.5042456707902403,-1.5042456707902403,-100.0,2.077319450983941,-1.098317430983938,-52.87185995700903,0.03017738866551989,0.14882063133448176,493.15278065965134,5.2785935490176215,-4.878591549017621,-92.42218601819714
2012-07-26,1343275200000,28.129999,17.53,0.2442,53.756541474875355,1.7304595722980023,-0.5104585722980026,-29.49843963243404,1.7248141012672669,-1.7248141012672669,-100.0,2.009363920812236,-0.2267629408122307,-11.28530966757716,1.44123137920211,-1.44123137920211,-100.0,1.4805557234600697,-0.8231547034600712,-55.59768473532037,2.0373973230087192,-2.0373973230087192,-100.0,0.029000499676300695,-0.029000499676300695,-100.0,5.185733245863272,-2.745731245863272,-52.94779186826816
2012-07-27,1343361600000,29.51,16.7,0.2452,55.53369779151369,1.8751557392013645,-1.8751557392013645,-100.0,1.86920906283452,0.2707899371654836,14.48687268586481,2.1666426510000054,-2.1666426510000054,-100.0,1.5706149081605023,-0.020815908160502158,-1.325334940624094,1.6131151620248405,-1.6131151620248405,-100.0,2.1972495521306623,0.5329494478693437,24.25529896467815,0.029446334622116762,-0.029446334622116762,-100.0,5.619520541237248,-3.4795215412372453,-61.918477131701344
2012-07-30,1343620800000,27.35,18.03,0.2457,59.46597760249852,1.860484162282504,-1.4104851622825052,-75.81280135983933,1.8549615185671195,-1.8549615185671195,-100.0,2.1284770198596537,-1.1314780198596548,-53.159043264383534,1.576064829018577,-1.576064829018577,-100.0,1.6179700819045608,-1.6179700819045608,-100.0,2.1593369853148707,-2.0623359853148693,-95.5078340870516,0.02547877719920644,0.9715202228007924,3813.056706783602,5.575929843132127,-4.675931843132131,-83.85923020339784
2012-07-31,1343707200000,27.42,18.93,0.2457,56.17377722309264,1.7623633650614412,-0.9023623650614444,-51.20183402302993,1.7568265866089448,-1.7568265866089448,-100.0,2.032845394149545,-0.6244443941495437,-30.717751381717072,1.4790193512660963,-1.4790193512660963,-100.0,1.5189292263040493,-1.2073282263040532,-79.48548262790345,2.061681712282504,-2.061681712282504,-100.0,0.027047890330711862,-0.027047890330711862,-100.0,5.281553316731827,-3.5615513167318333,-67.43378516030367
2012-08-01,1343793600000,26.25,18.96,0.2457,57.12468114977453,1.7156161378201882,1.5143838621798125,88.27055358105598,1.7103156114023133,-1.7103156114023133,-100.0,1.974049434508979,1.7809505654910236,90.21813407291971,1.4438549186194651,-1.4438549186194651,-100.0,1.4826438409336422,1.222356159066356,82.44435550324891,2.002237303987414,-2.002237303987414,-100.0,0.02546099980224481,-0.02546099980224481,-100.0,5.141547887042689,1.3184521129573117,25.643097019089666
2012-08-02,1343880000000,26.1,17.57,0.2447,54.41833919861932,1.6252804470264,2.664718552973598,163.95438447862617,1.6200316570628228,-1.6200316570628228,-100.0,1.8836921540674696,2.9283068459325303,155.45570116695643,1.3565483399031582,-1.3565483399031582,-100.0,1.3934481298867922,2.3745508701132043,170.4082713366675,1.9100943641239423,-1.9100943641239423,-100.0,0.026579389901462136,-0.026579389901462136,-100.0,4.870592551115623,3.7094054488843735,76.15922313260886
2012-08-03,1343966400000,27.27,15.64,0.24425,55.13149113092429,1.7203053125976826,3.5496956874023216,206.341029200348,1.714831316187416,-1.714831316187416,-100.0,1.9898932540469616,3.8255077459530433,192.2468824984901,1.4391287375649018,-1.4391287375649018,-100.0,1.4781277914568598,3.246473208543143,219.63413632480203,2.0179443151183936,-2.0179443151183936,-100.0,0.0274104203084562,-0.0274104203084562,-100.0,5.155441941382781,5.384560058617227,104.4441993497262
