Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-04-10,1397102400000,204.190002,15.89,0.107633333,67.78952819118068,6.462935023020433,-6.462935023020433,-100.0,6.459924408163077,-0.3899174081630719,-6.035943821112722,,,,12.922859431183513,-6.852852431183507,-53.02891722746151,2.7323611390947704,-2.7323611390947704,-100.0,12.938700093494532,3.3408070065054862,25.820267742238002,3.730573883925663,1.269426116074337,34.027636379058286,12.67826615785512,-8.538773057855138,-67.34969081371382,2.4659059737406466,-2.4659059737406466,-100.0,3.99401843442243,-3.99401843442243,-100.0
2014-04-11,1397188800000,203.779999,17.03,0.1085,57.76632470987293,5.4969104670127535,-4.896904467012746,-89.08466849513607,5.493881704604448,-5.493881704604448,-100.0,,,,10.990792171617201,-10.390786171617194,-94.54083026381416,1.94434917672325,-1.94434917672325,-100.0,12.130168926194555,-2.5411749761945543,-20.94921341702836,3.5525612902895034,1.4474387097104966,40.74352534513325,11.925836092945788,-1.1368301429457972,-9.532498468750884,1.7339588186579178,-1.7339588186579178,-100.0,3.75992288594653,-3.75992288594653,-100.00000000000001
2014-04-14,1397448000000,198.089996,16.11,0.109033333,58.82487214685256,5.441282271160149,15.10872072883983,277.66838726450527,5.438323606612073,-5.438323606612073,-100.0,,,,10.87960587777222,9.670397122227753,88.88554632282258,1.9677193404270312,8.677783859572976,441.00719453668313,11.869112542651608,-11.869112542651608,-100.0,3.473562930733117,1.5264370692668825,43.9444195975663,11.66473274003488,18.789770059965146,161.08187370188273,1.7574222087142175,-1.7574222087142175,-100.0,3.6809013978978555,-3.6809013978978555,-100.0
2014-04-15,1397534400000,193.910004,15.61,0.1098,41.617307303073055,3.7691612121719373,10.310839787828073,273.55794054472307,3.766244615142142,-3.766244615142142,-100.0,,,,7.5354058273140785,6.544595172685933,86.85126352403354,0.8041394966659291,3.5803613033340547,445.2413192211944,10.496577269784636,-10.496577269784636,-100.0,2.9650217155060083,2.034978284493992,68.63282902286278,10.390324219065434,13.385176980934546,128.82347748469476,0.6920532518871028,-0.6920532518871028,-100.0,3.0741913632550393,-3.0741913632550393,-100.0
2014-04-16,1397620800000,199.110001,14.18,0.109266667,51.161922186244325,4.757255777917976,3.992744222082024,83.92956797940887,4.754275514444898,-4.754275514444898,-100.0,,,,9.511531292362877,-0.7615312923628751,-8.006400535887778,1.4309427063011668,-1.4309427063011668,-100.0,11.383313479654449,-10.177813429654437,-89.40993716676061,3.326313071616809,1.6736869283831908,50.316578516455394,11.220306685692774,7.485193364307207,66.71112986467399,1.2619753853933915,-1.2619753853933915,-100.0,3.4923001290515066,-3.4923001290515066,-100.0
2014-04-17,1397707200000,198.119995,13.36,0.109766667,33.711352449887855,3.1198169474695585,-1.38980594746954,-44.547676061468685,3.116837932672496,-3.116837932672496,-100.0,,,,6.236654880142055,-4.506643880142036,-72.26059428895938,0.4169783936559561,-0.4169783936559561,-100.0,10.319850178119083,-2.143861428119095,-20.774152639005074,2.7028385538136024,2.2971614461863976,84.99070145884927,10.255377139818023,1.3806336101819738,13.462533765057346,0.3465473257608025,-0.3465473257608025,-100.0,2.7702906069116935,-2.7702906069116935,-99.99999999999999
2014-04-18,1397793600000,204.380005,13.25,0.111233333,43.09562316736767,4.113725406071978,-4.113725406071978,-100.0,4.11061120114698,1.7593987988530273,42.801391636409285,,,,8.224336607218959,-2.3543266072189515,-28.626340575024948,0.9366220524690548,-0.9366220524690548,-100.0,11.152352387297812,4.936657862702219,44.26561940712098,3.1771033536029236,1.8228966463970764,57.37605748109708,11.031823735296225,-6.682833485296242,-60.577776128842345,0.8098649906174735,-0.8098649906174735,-100.0,3.300746210529507,-3.300746210529507,-100.0
2014-04-21,1398052800000,218.639999,13.19,0.109333333,54.69268751086684,5.584155291176983,-5.584155291176983,-100.0,5.580880707504831,6.1391202924951624,110.00271488046043,,,,11.165035998681814,0.5549650013181822,4.970561683667687,1.8419998879385344,-1.8419998879385344,-100.0,12.770561525082824,9.881439424917204,77.37670270417584,3.7421554032384483,1.2578445967615517,33.61283702095903,12.569984422434544,-12.569984422434544,-100.0,1.6348736179460204,-0.8468725679459723,-51.800491404953,3.946007089558811,-3.946007089558811,-100.0
2014-04-22,1398139200000,207.990005,13.27,0.109333333,69.88720988059254,6.786786381967957,-6.786786381967957,-100.0,6.7836713038602605,-6.683665303860253,-98.52578352457762,,,,13.570457685828213,-13.470451685828207,-99.26306096437378,2.9568725048577567,-2.9568725048577567,-100.0,13.353101922844699,-2.8535956728446763,-21.370283019877945,3.8299138771102,1.1700861228897996,30.551238498675307,13.076222103888881,-2.7767278538888998,-21.234939509501746,2.6737625296866128,-2.6737625296866128,-100.0,4.109908774173648,-4.109908774173648,-100.0
2014-04-23,1398225600000,207.860001,13.32,0.109333333,69.4932708427953,6.744342477935902,-6.744342477935902,-100.0,6.7412293469054845,-6.611224346905472,-98.07149418437024,,,,13.485571824841387,-13.355566824841375,-99.03596968902326,2.92228797538946,-2.92228797538946,-100.0,13.31201923780756,-2.7890141878075383,-20.95109793626529,3.8220545025464414,1.1779454974535573,30.81969387586575,13.037498017163102,-2.77450296716313,-21.280946417101347,2.6415404926842214,-2.6415404926842214,-100.0,4.099688854221263,-4.099688854221263,-100.0
2014-04-24,1398312000000,199.850006,14.06,0.11,77.52486173480882,7.2332252416760525,3.8267727583239264,52.90548310696879,7.230213825918268,-7.230213825918268,-100.0,,,,14.46343906759432,-3.4034410675943416,-23.531340310478665,3.4627621615793203,-2.3952644615793304,-69.1720756382206,13.45210047503366,-13.45210047503366,-100.0,3.770463080096732,1.2295369199032675,32.60970585797975,13.145735338673036,7.9067629613269625,60.146981189148846,3.1503741937031786,-3.1503741937031786,-100.0,4.079839632215089,-4.079839632215089,-100.0
2014-04-25,1398398400000,198.509995,13.97,0.1108,73.0169732595158,6.767310423843213,11.332695576156794,167.46232796161374,6.7642974456888965,-6.7642974456888965,-100.0,,,,13.531607869532108,4.568398130467898,33.760940861685356,3.0726402368214845,5.101866013178494,166.04176278236062,12.994976359759448,-12.994976359759448,-100.0,3.6946701870217287,1.3053298129782709,35.330076756607525,12.714263877954435,15.311241872045542,120.42570469686464,2.785901798707826,-2.785901798707826,-100.0,3.9783956469810704,-3.9783956469810704,-100.0
