Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,95-Calls.1,95-Calls-P.1,95-Calls-ROI.1,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI,90-Calls,90-Calls-P,90-Calls-ROI
2016-01-28,1453957200000,8.74,22.42,0.4306,54.35202014986346,0.5442171573761065,1.8157828426238931,333.65042208123765,0.5411244630443539,-0.5411244630443539,-100.0,0.3659552476276957,1.5570447523723026,425.4740880109911,0.7997079185793563,-0.7997079185793563,-100.0,0.17826190974841086,-0.17826190974841086,-100.0,0.6775256773715217,1.9446743226284773,287.0259220540381,0.4123257638697204,-0.4123257638697204,-100.0,0.4309265166629075,1.6668734833370915,386.8115372071672,0.6899410415012017,-0.6899410415012017,-100.0,0.8432522805326279,1.2545477194673715,148.77489790777145,0.7778080967863383,2.0191919032136605,259.60026792679776,0.3378700371711738,-0.3378700371711738,-100.0,,,,1.0678627955111208,2.166137204488879,202.8478952159843,0.191079370612542,-0.191079370612542,-100.0,,,
2016-01-29,1454043600000,8.77,20.2,0.4306,54.113115576627294,0.5436964994639261,2.2963035005360743,422.3502455506305,0.5405931894765716,-0.5405931894765716,-100.0,0.3648796491694449,2.0366203508305536,558.1622201913418,0.800121173682725,-0.800121173682725,-100.0,0.17881685029448113,-0.17881685029448113,-100.0,0.6775444462314617,2.425555553768538,357.99209443153234,0.4114342355437293,-0.4114342355437293,-100.0,0.4300238098564759,2.1468761901435243,499.24588846837634,0.6899274005694993,-0.6899274005694993,-100.0,0.8414580454002052,1.735441954599795,206.2422439343845,0.7782746871323543,2.500225312867645,321.25229744783593,0.3368265426443675,-0.3368265426443675,-100.0,,,,1.0697297976131264,2.647270202386874,247.47092287170952,0.18993681862450693,-0.18993681862450693,-100.0,,,
2016-02-01,1454302800000,8.76,19.98,0.428,54.181312586115396,0.5437488494217311,2.6462511505782684,486.667908059487,0.5406677913820692,-0.5406677913820692,-100.0,0.3651215048636685,2.3868784951363304,653.7216962960205,0.7998863939220247,-0.7998863939220247,-100.0,0.17862734455806256,-0.17862734455806256,-100.0,0.6774196446089551,2.775380355391043,409.69882959227584,0.4116310183104837,-0.4116310183104837,-100.0,0.4302049688703162,2.496995031129683,580.4198490981153,0.6898314790894648,-0.6898314790894648,-100.0,0.8418359871807999,2.0853640128192,247.71618754418117,0.7780046897438071,2.8499953102561912,366.3210964955339,0.33707768460612986,-0.33707768460612986,-100.0,,,,1.0690102189774535,2.9969897810225463,280.35183647629435,0.19023726674175867,-0.19023726674175867,-100.0,,,
2016-02-02,1454389200000,8.47,21.98,0.4262,54.35884151359853,0.5274564392582315,2.872543560741767,544.6029940939693,0.5244899062761101,-0.5244899062761101,-100.0,0.35470309473789285,2.621796905262105,739.1525318377829,0.7750882351066668,-0.7750882351066668,-100.0,0.17275334452033864,-0.17275334452033864,-100.0,0.6566426012636919,2.9974573987363065,456.4823227990045,0.39966506427103576,-0.39966506427103576,-100.0,0.4176673580251711,2.728232641974828,653.2070533054223,0.6687118290535858,-0.6687118290535858,-100.0,0.8173324222962068,2.32856757770379,284.89847143980074,0.7538230156437056,3.069676984356292,407.2145477987335,0.3275048093106916,-0.3275048093106916,-100.0,,,,1.034903539486117,3.212096460513882,310.37641074344515,0.1852336598022077,-0.1852336598022077,-100.0,,,
2016-02-03,1454475600000,8.43,21.65,0.425,54.246558196314965,0.5238824630746151,2.9961175369253845,571.9064385819412,0.5209382513059242,-0.5209382513059242,-100.0,0.35197141902152085,2.7465285809784787,780.3271608285178,0.7703799966643947,-0.7703799966643947,-100.0,0.1719110440530942,-0.1719110440530942,-100.0,0.652494943185439,3.1204050568145587,478.2267034256142,0.3967390577698113,-0.3967390577698113,-100.0,0.4146154249485812,2.852484575051418,687.9832257579831,0.6644828868268302,-0.6644828868268302,-100.0,0.8113544827183925,2.4557455172816067,302.6723299850128,0.7492628074026486,3.192237192597351,426.0504006148892,0.3249658062223917,-0.3249658062223917,-100.0,,,,1.0291977486700592,3.3338022513299403,323.92241973303163,0.183547958078238,-0.183547958078238,-100.0,,,
2016-02-04,1454562000000,8.9,21.84,0.4270000000000001,57.61224812919495,0.5872415364587189,2.55275846354128,434.7033213854978,0.5841185502641046,-0.5841185502641046,-100.0,0.4050256863504149,2.289974313649584,565.3898976837664,0.8467465508460705,-0.8467465508460705,-100.0,0.182215850108304,-0.182215850108304,-100.0,0.7218938501617824,2.685106149838216,371.95304396019736,0.4518645535530075,-0.4518645535530075,-100.0,0.4718193761764296,2.40118062382357,508.91946051102514,0.7356027003959751,-0.7356027003959751,-100.0,0.9236839297294372,1.9493160702705623,211.03713159127395,0.8226409675098587,2.7623590324901404,335.79157148613984,0.37467413062497545,-0.37467413062497545,-100.0,,,,1.1126488757930604,2.9173511242069385,262.1987212387686,0.21983818821790724,-0.21983818821790724,-100.0,,,
2016-02-05,1454648400000,8.63,23.38,0.4285,57.24912070494868,0.5658598675917332,4.204140132408266,742.9648881623011,0.5628209876889141,-0.5628209876889141,-100.0,0.3892376706890404,3.9492623293109603,1014.614624098396,0.8175468467910818,-0.8175468467910818,-100.0,0.17662219690269282,-0.17662219690269282,-100.0,0.6965428579784954,4.332357142021503,621.9799819059028,0.4346951444727618,-0.4346951444727618,-100.0,0.4539420549208826,4.057157945079116,893.761197293394,0.7097120086209792,-0.7097120086209792,-100.0,0.8886371993936444,3.6224628006063546,407.64248931713837,0.7943764911493894,4.40712350885061,554.7902736237712,0.3599895552417123,-0.3599895552417123,-100.0,,,,1.0761440713414263,4.556855928658575,423.44292460566163,0.2104090794288891,-0.2104090794288891,-100.0,,,
2016-02-08,1454907600000,8.37,26.0,0.4285,57.29459572561777,0.5492457378073969,4.140754262192605,753.8982967300943,0.546298411644409,-0.546298411644409,-100.0,0.3779365055275399,3.8935634944724615,1030.2163028780878,0.7933418130564016,-0.7933418130564016,-100.0,0.17130923227985706,-0.17130923227985706,-100.0,0.675977569415469,4.265122430584531,630.9562067677283,0.4220186630373704,-0.4220186630373704,-100.0,0.4406992744148477,3.9982007255851535,907.2401425879112,0.6887635284669678,-0.6887635284669678,-100.0,0.862717937452218,3.5761820625477823,414.5250617031306,0.7708463459030641,4.337653654096937,562.713136950176,0.34954638604822463,-0.34954638604822463,-100.0,,,,1.0440570784879082,4.482942921512094,429.3771876921394,0.20440448494121696,-0.20440448494121696,-100.0,,,
2016-02-09,1454994000000,8.62,26.54,0.4277,58.31772644852038,0.5756989288077357,3.394301071192265,589.5965584340785,0.5726692361538168,-0.5726692361538168,-100.0,0.39909102754544623,3.139908972454553,786.7651126526512,0.8269098502588328,-0.8269098502588328,-100.0,0.17660790126228942,-0.17660790126228942,-100.0,0.7058942328558322,3.522705767144168,499.04158486922006,0.4443554309815325,-0.4443554309815325,-100.0,0.4639031376425624,3.2474968623574387,700.0377015901187,0.7193825542090275,-0.7193825542090275,-100.0,0.9082585686240948,2.8031414313759058,308.6281295008685,0.8031990934757722,3.597800906524228,447.9338853527668,0.3693208854545521,-0.3693208854545521,-100.0,,,,1.0830175298902915,3.7489824701097088,346.1608299626948,0.21829080650176724,-0.21829080650176724,-100.0,,,
2016-02-10,1455080400000,8.88,26.29,0.4289,58.94434704993927,0.5994080937318813,3.4005919062681187,567.3249897404993,0.5962782629633692,-0.5962782629633692,-100.0,0.4173647887728933,3.1386352112271063,752.0124590421492,0.8580784664659564,-0.8580784664659564,-100.0,0.182043304958988,-0.182043304958988,-100.0,0.7333310351974731,3.5330689648025264,481.78364138797605,0.4638950993520177,-0.4638950993520177,-100.0,0.4842377775538616,3.2493622224461403,671.0261720719868,0.7474140518622914,-0.7474140518622914,-100.0,0.9481328769058792,2.78546712309412,293.78446744555106,0.8333255456677122,3.6106744543322873,433.28498365416016,0.386352206437627,-0.386352206437627,-100.0,,,,1.1206254017339567,3.7673745982660436,336.18500816033094,0.2298085540422949,-0.2298085540422949,-100.0,,,
