Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls.1,110-Calls-P.1,110-Calls-ROI.1,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI
2016-09-08,1473307200000,11.27,17.5,1.23361,59.7080781383743,1.4764087640581105,8.456591235941888,572.7811593787751,2.5282198581470885,-2.5282198581470885,-100.0,,,,1.900173268086712,9.159826731913288,482.0521836483016,1.8318197172585096,-1.8318197172585096,-100.0,,,
2016-09-09,1473393600000,11.33,15.16,1.23472,59.71046461076889,1.4843675280305844,8.792632471969412,592.3487482668946,2.5417105180967194,-2.5417105180967194,-100.0,,,,1.9103894653539355,9.499610534646065,497.26041244087804,1.8416103654140583,-1.8416103654140583,-100.0,,,
2016-09-12,1473652800000,11.23,17.85,1.25,59.70989244585274,1.47155952261343,9.16544047738657,622.8385829143436,2.5186451156307883,-2.5186451156307883,-100.0,,,,1.8938660685018458,9.866133931498153,520.9520406742814,1.8248529712448975,-1.8248529712448975,-100.0,,,
2016-09-13,1473739200000,11.28,18.14,1.25528,59.671451005502604,1.4770046556165202,9.34499534438348,632.6991122775279,2.5284311561281334,-2.5284311561281334,-100.0,,,,1.9012370188887484,10.048762981111253,528.5381507553774,1.8316247466265783,-1.8316247466265783,-100.0,,,
2016-09-14,1473825600000,11.38,16.3,1.24894,59.677307147481095,1.4901545096345012,9.191846490365501,616.8384842602687,2.5512911424949904,-2.5512911424949904,-100.0,,,,1.9181245248036594,9.90187647519634,516.2269887670565,1.848248736495015,-1.848248736495015,-100.0,,,
2016-09-15,1473912000000,11.37,15.37,1.2528299999999999,59.67563474460285,1.4888720082498932,9.394126991750106,630.9559814206267,2.5488377303114182,-2.5488377303114182,-100.0,,,,1.9164786987320528,10.103520301267947,527.1918914597097,1.846447536969804,-1.846447536969804,-100.0,,,
2016-09-16,1473998400000,11.55,15.53,1.25217,59.63565574275518,1.5111350808825952,9.993863919117402,661.3481511712623,2.587922360455156,-2.587922360455156,-100.0,,,,1.9455414033771523,10.714457596622847,550.7185597810584,1.8744389302612987,-1.8744389302612987,-100.0,,,
2016-09-19,1474257600000,11.66,15.92,1.2473299999999998,59.01103324327103,1.5050208024513836,9.958980197548618,661.7171125693008,2.5923674552974427,-2.5923674552974427,-100.0,,,,1.9440507496804909,10.68595025031951,549.6744491920166,1.8725477068132683,-1.8725477068132683,-100.0,,,
2016-09-20,1474344000000,11.9,13.3,1.2565600000000001,58.700170969877824,1.5258348542292284,10.164166145770768,666.138023888907,2.6349704094415234,-2.6349704094415234,-100.0,,,,1.9741814073325887,10.90581959266741,552.4223636267949,1.9006682757074005,-1.9006682757074005,-100.0,,,
2016-09-21,1474430400000,11.68,12.02,1.25939,58.742434510143106,1.4990689806214623,8.682932019378535,579.2216456762976,2.5875213088994986,-2.5875213088994986,-100.0,,,,1.9391021827193033,9.410898817280696,485.32248074123186,1.8667861175175169,-1.8667861175175169,-100.0,,,
2016-09-22,1474516800000,11.83,12.29,1.25878,58.63893340554357,1.5148775297479309,9.07212247025207,598.8683766245864,2.6173471734207965,-2.6173471734207965,-100.0,,,,1.9606426107011636,9.809357389298839,500.31338377323266,1.887433195858314,-1.887433195858314,-100.0,,,
2016-09-23,1474603200000,11.55,14.5,1.24833,58.68836182190975,1.4804028672873102,9.294597132712687,627.8424162838935,2.557429262421669,-2.557429262421669,-100.0,,,,1.9155467136180944,10.014453286381904,522.7986984178816,1.844661618285696,-1.844661618285696,-100.0,,,
2016-09-26,1474862400000,11.78,13.1,1.24472,58.48336035127171,1.5030405093930073,9.008958490606993,599.3822810700691,2.6017434575472502,-2.6017434575472502,-100.0,,,,1.947000523026726,9.742998476973275,500.4106758958245,1.8749122940760363,-1.8749122940760363,-100.0,,,
2016-09-27,1474948800000,11.83,12.39,1.24444,58.432648958993596,1.5077335518125263,9.469266448187472,628.0464102429746,2.6111177837319106,-2.6111177837319106,-100.0,,,,1.9536172006209007,10.206382799379098,522.4351421627172,1.8812392296385223,-1.8812392296385223,-100.0,,,
2016-09-28,1475035200000,11.64,14.02,1.24194,58.26659655334353,1.4780507307124755,9.277948269287522,627.7151437701467,2.5638705532150183,-2.5638705532150183,-100.0,,,,1.9168941416570864,10.003104858342915,521.8391898102203,1.8458212530230345,-1.8458212530230345,-100.0,,,
2016-09-29,1475121600000,11.66,13.29,1.23363,57.66010169693961,1.4606052289443303,9.913395771055667,678.7183541866882,2.5488131425785667,-2.5488131425785667,-100.0,,,,1.9006413613678017,10.639359638632197,559.7773391070242,1.829921282853471,-1.829921282853471,-100.0,,,
2016-09-30,1475208000000,11.67,13.57,1.2377799999999999,57.31964662090385,1.4508168138210111,9.562183186178991,659.0896311020207,2.5396968876344514,-2.5396968876344514,-100.0,,,,1.891500518572335,10.28849948142767,543.933209661143,1.8204824038572784,-1.8204824038572784,-100.0,,,
2016-10-03,1475467200000,11.63,13.63,1.2397200000000002,56.48975574460183,1.4188527309974983,9.948147269002499,701.1402277112043,2.5038789212490093,-2.5038789212490093,-100.0,,,,1.8586431284026224,10.671356871597377,574.1477053084786,1.7877578468130857,-1.7877578468130857,-100.0,,,
2016-10-04,1475553600000,11.69,12.99,1.24778,56.491630601889646,1.4264048078151994,9.994596192184801,700.684415631868,2.5165207321741847,-2.5165207321741847,-100.0,,,,1.8684894132256915,10.721511586774307,573.806386639627,1.7967766171884063,-1.7967766171884063,-100.0,,,
2016-10-05,1475640000000,11.52,12.84,1.25139,56.16605560443536,1.3952332961075946,10.102766703892406,724.0915717878139,2.469272169429563,-2.469272169429563,-100.0,,,,1.831133249980006,10.818866750019996,590.829026240342,1.7602594984545217,-1.7602594984545217,-100.0,,,
2016-10-06,1475726400000,11.48,13.48,1.25578,56.128084510147524,1.3892593363909649,9.912740663609037,713.5270142837749,2.4592972054044284,-2.4592972054044284,-100.0,,,,1.8236869892267853,10.626313010773213,582.6829424976379,1.7528123246935703,-1.7528123246935703,-100.0,,,
2016-10-07,1475812800000,11.47,13.38,1.26244,56.12541361772783,1.388101804203873,9.314898195796122,671.0529564608238,2.45679575891524,-2.45679575891524,-100.0,,,,1.822174766790325,10.027825233209676,550.3218141294547,1.7509874528915672,-1.7509874528915672,-100.0,,,
2016-10-10,1476072000000,11.18,15.36,1.2622200000000001,56.109466758060215,1.3525022183096054,10.649496781690397,787.3921859440964,2.394189271690016,-2.394189271690016,-100.0,,,,1.7756106354862418,11.344388364513756,638.9006766343882,1.7062352294684329,-1.7062352294684329,-100.0,,,
2016-10-11,1476158400000,11.27,15.91,1.26033,55.751586425838546,1.3520570659889692,9.650942934011027,713.7970117372078,2.4022446236869333,-2.4022446236869333,-100.0,,,,1.7788117916011297,10.351188208398868,581.9158753766548,1.7089822985992775,-1.7089822985992775,-100.0,,,
2016-10-12,1476244800000,11.19,16.69,1.2635,55.595317129870274,1.3376273691424982,9.813371630857503,733.6401644613836,2.380168948005529,-2.380168948005529,-100.0,,,,1.76146874343267,10.50853025656733,596.5777307003917,1.6919610878536062,-1.6919610878536062,-100.0,,,
2016-10-13,1476331200000,11.12,16.12,1.26367,55.602122432867745,1.3294750443379837,9.268524955662016,697.1567458249891,2.365484724309788,-2.365484724309788,-100.0,,,,1.750661031464943,9.959338968535056,568.8901957337305,1.6815789223484012,-1.6815789223484012,-100.0,,,
2016-10-14,1476417600000,10.93,16.21,1.2622799999999998,55.64473428151455,1.3080357928693005,10.428964207130699,797.2996047955064,2.3264257720744235,-2.3264257720744235,-100.0,,,,1.7219927548036713,11.108007245196331,645.0670140283361,1.6541654631719656,-1.6541654631719656,-100.0,,,
2016-10-17,1476676800000,11.34,15.28,1.2622799999999998,55.647488940718354,1.357189562552656,9.388809437447346,691.7832037986278,2.4137808127069205,-2.4137808127069205,-100.0,,,,1.7866727588774376,10.093326241122565,564.9230498966234,1.7163011681085862,-1.7163011681085862,-100.0,,,
2016-10-18,1476763200000,11.3,14.41,1.26433,55.64574058026972,1.3523889411731096,9.807611058826893,725.2063929419168,2.405128356313773,-2.405128356313773,-100.0,,,,1.7803651160041598,10.50963488399584,590.3078413254693,1.7101282206774906,-1.7101282206774906,-100.0,,,
