Datetime,Price,Timestamp,VIX,10-Month-LIBOR,10-Month-VM,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,94-Calls,94-Calls-P,94-Calls-ROI,94-Puts,94-Puts-P,94-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,96-Butterfly-Spreads,96-Butterfly-Spreads-P,96-Butterfly-Spreads-ROI
2016-02-25,96.91,1456376400000,19.81,1.0619094594594594,27.776407791995915,11.9996360256196,41.49676397438041,345.8168554928125,7.31476991695758,-7.31476991695758,-100.0,13.04635060643757,42.38824939356243,324.90503032048235,6.440127541706017,-6.440127541706017,-100.0,11.01614342096235,40.542056579037656,368.0240446206535,8.252634268369874,-8.252634268369874,-100.0,0.06322197616072245,-0.06322197616072245,-100.0
2016-02-26,96.69,1456462800000,20.55,1.0624986486486487,27.64330284922729,11.92844659956682,44.20915340043321,370.61953567397995,7.253770229102407,-7.253770229102407,-100.0,12.974124800700991,45.09727519929902,347.593967932715,6.382462521287934,-6.382462521287934,-100.0,10.946142752262766,43.25765724773724,395.18630650778886,8.18845229074703,-8.18845229074703,-100.0,0.0633743538301168,-0.0633743538301168,-100.0
2016-02-29,100.53,1456722000000,17.7,1.0758567567567567,27.870575502276722,12.486166052665872,44.01503394733414,352.5104004037865,7.61533375404089,-7.61533375404089,-100.0,13.571240489822998,44.940559510177,331.1455540403818,6.7075088640860425,-6.7075088640860425,-100.0,11.466449330662003,43.024150669337985,375.2177280746248,8.588516359149011,-8.588516359149011,-100.0,0.0653577151532545,-0.0653577151532545,-100.0
2016-03-01,100.75,1456808400000,17.09,1.0748770270270271,27.85427385926136,12.5074447118443,44.76255528815571,357.88729288378516,7.626725067928056,-7.626725067928056,-100.0,13.595046002235653,45.689953997764356,336.0779653871772,6.7170496842343415,-6.7170496842343415,-100.0,11.485382255908902,43.76961774409111,381.0897780226068,8.601939286077759,-8.601939286077759,-100.0,0.06553883445595687,-0.06553883445595687,-100.0
2016-03-02,101.5,1456894800000,16.7,1.0878108108108109,27.861892598358878,12.608628919231286,43.21137108076871,342.71268793437685,7.6813096632492925,-7.6813096632492925,-100.0,13.704466150878597,44.1455338491214,322.12516243320596,6.765216046062896,-6.765216046062896,-100.0,11.578791797668213,42.211208202331775,364.55624161782094,8.663403390519939,-8.663403390519939,-100.0,0.06600011008423934,-0.06600011008423934,-100.0
2016-03-03,103.01,1456981200000,16.86,1.093094594594595,27.89332483359408,12.809567633097991,42.250832366901996,329.8380833536662,7.804689106887118,-7.804689106887118,-100.0,13.921465386225655,43.199134613774326,310.30594420409886,6.874813495977513,-6.874813495977513,-100.0,11.764574480188804,41.23562551981119,350.5067317925587,8.801469318015208,-8.801469318015208,-100.0,0.06690460021847855,-0.06690460021847855,-100.0
2016-03-04,101.87,1457067600000,17.35,1.0879094594594594,27.862800992231232,12.654950566409305,45.64984943359071,360.72720469380164,7.709591066447978,-7.709591066447978,-100.0,13.754774635358482,46.587425364641504,338.7000267156855,6.790151791646359,-6.790151791646359,-100.0,11.621365022769751,44.646034977230244,384.17203908280334,8.695268866559225,-8.695268866559225,-100.0,0.06623852530962182,-0.06623852530962182,-100.0
2016-03-07,101.03,1457326800000,18.67,1.102768918918919,27.872205923201584,12.56006308315444,46.15113691684555,367.4435121169373,7.643742720721378,-7.643742720721378,-100.0,13.650970882389073,47.08082911761093,344.8899680706904,6.732282194173365,-6.732282194173365,-100.0,11.534815707994321,45.15578429200567,391.47382528799307,8.620863671343889,-8.620863671343889,-100.0,0.06566042407451533,-0.06566042407451533,-100.0
2016-03-08,101.12,1457413200000,18.34,1.0983270270270271,27.851032122923822,12.562047635879875,45.83275236412013,364.8509677133533,7.64485987032532,-7.64485987032532,-100.0,13.654072737797437,46.76312726220256,342.4848260310792,6.732659717358622,-6.732659717358622,-100.0,11.535793279129493,44.836606720870506,388.67380539827036,8.622830768459233,-8.622830768459233,-100.0,0.06577074516717829,-0.06577074516717829,-100.0
2016-03-09,101.17,1457499600000,18.05,1.0998702702702703,27.797154216461678,12.550196460976146,40.57660353902386,323.3144888623348,7.629356482324276,-7.629356482324276,-100.0,13.64334969317548,41.50685030682453,304.2277097653416,6.717318880745517,-6.717318880745517,-100.0,11.522969845310767,39.580430154689225,343.49157106226687,8.607320700436986,-8.607320700436986,-100.0,0.06592661653395737,-0.06592661653395737,-100.0
