Datetime,Timestamp,Price,VIX,2-Month-LIBOR,2-Month-VM,90-Calls,90-Calls-P,90-Calls-ROI,90-Puts,90-Puts-P,90-Puts-ROI
2017-07-17,1500264000000,150.08,9.89,1.25778,18.87546934770429,15.682617591254953,5.795382408745056,36.95417792994402,0.3956334553091132,-0.3956334553091132,-100.0
2017-07-18,1500350400000,151.02,9.79,1.25722,18.876298284968634,15.780800419870602,4.301199580129392,27.25590252515633,0.39819377593574856,-0.39819377593574856,-100.0
2017-07-19,1500436800000,150.34,9.58,1.2566700000000002,18.857636410222224,15.708029308967653,5.975970691032373,38.04405106133024,0.39480823569209633,-0.39480823569209633,-100.0
2017-07-20,1500523200000,150.27,9.36,1.2566700000000002,18.8592956912542,15.70085781608985,8.93614218391015,56.91499336267227,0.39476675129589545,-0.39476675129589545,-100.0
2017-07-21,1500609600000,152.09,9.43,1.2566700000000002,18.99698982871333,15.903061444061649,7.68593855593835,48.32993057955109,0.4115901587451791,-0.4115901587451791,-100.0
2017-07-24,1500868800000,152.74,9.43,1.25722,18.583941265709488,15.93538346846762,6.358616531532363,39.90250089754395,0.377580933739722,-0.377580933739722,-100.0
2017-07-25,1500955200000,153.46,9.6,1.26056,18.565887584925218,16.009661258963973,1.8563387410360122,11.59511566802595,0.37776417448138133,-0.37776417448138133,-100.0
2017-07-26,1501041600000,150.56,10.11,1.26,18.988393421859627,15.74300560951498,5.0029943904850285,31.77915650021269,0.4066357256818236,-0.4066357256818236,-100.0
2017-07-27,1501128000000,149.5,10.29,1.2566700000000002,19.032645841641894,15.63533465973515,5.984665340264854,38.276541375713855,0.407673688239214,-0.407673688239214,-100.0
2017-07-28,1501214400000,148.73,10.26,1.25778,18.764616902250005,15.532175376368642,7.710824623631382,49.64420267468124,0.38270075923625413,-0.38270075923625413,-100.0
2017-07-31,1501473600000,150.05,10.09,1.25722,18.012215780163984,15.608679395582428,5.756320604417553,36.878972644198896,0.3248750854087774,-0.3248750854087774,-100.0
2017-08-01,1501560000000,157.14,10.28,1.25833,20.34012241532182,16.561865534696693,-0.5778655346966843,-3.4891331141776907,0.5556299443603709,-0.5556299443603709,-100.0
2017-08-02,1501646400000,155.57,10.44,1.25556,20.42535912234461,16.404549173404078,6.6324508265959565,40.430558356025024,0.5588695580875083,-0.5588695580875083,-100.0
2017-08-03,1501732800000,156.39,10.03,1.25611,20.432747071870427,16.491893401148985,9.477106598851037,57.46524288224401,0.5625651812552075,-0.5625651812552075,-100.0
2017-08-04,1501819200000,158.81,9.93,1.25778,20.47725621137762,16.752120224839828,9.358879775160162,55.866837448330486,0.5759078672334859,-0.5759078672334859,-100.0
2017-08-07,1502078400000,160.08,10.96,1.25778,20.528264722603904,16.891512178133837,5.9264878218661465,35.085596596484834,0.5859390139399885,-0.5859390139399885,-100.0
2017-08-08,1502164800000,161.06,11.11,1.25944,20.556433392362045,16.998298077587037,6.1577019224129685,36.22540265094042,0.5925084604328248,-0.5925084604328248,-100.0
2017-08-09,1502251200000,155.32,16.04,1.25944,20.714765664938707,16.409013196450232,16.302986803549786,99.35385271721651,0.5879077491859146,-0.5879077491859146,-100.0
2017-08-10,1502337600000,157.48,15.51,1.25944,20.67696163723143,16.633192230128913,15.884807769871117,95.50065645906388,0.5920662590035484,-0.5920662590035484,-100.0
