Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,5-Day-VNM
2016-12-06,1481000400000,111.03,12.22,0.452633333,0.12573544243558257,0.13487349298727425
2016-12-07,1481086800000,112.12,12.64,0.458366667,0.13944101073388368,0.14041049483417084
2016-12-08,1481173200000,113.95,11.75,0.473743333,0.11401958128242114,0.14216983694437899
2016-12-09,1481259600000,113.3,12.64,0.52189,0.1390335748551897,0.18998335881032002
2016-12-12,1481518800000,115.19,12.72,0.5502199999999999,0.12915640678629067,0.18670061555538783
2016-12-13,1481605200000,115.19,13.19,0.57596,0.14444546922811957,0.2204755144835496
2016-12-14,1481691600000,115.82,12.79,0.594446667,0.15867190070090903,0.2061420996261195
2016-12-15,1481778000000,115.97,12.2,0.602263333,0.15747202850101324,0.19567943884726843
2016-12-16,1481864400000,116.64,11.71,0.6955566670000001,0.13292831524059676,0.14704475834733088
2016-12-19,1482123600000,116.95,11.45,0.6975899999999999,0.10415085682532513,0.1471450260010004
2016-12-20,1482210000000,117.06,11.27,0.695743333,0.040531702694249334,0.06771976147166944
2016-12-21,1482296400000,116.29,11.43,0.6979266670000001,0.03637478913112052,0.06813613018574112
2016-12-22,1482382800000,116.52,11.44,0.70052,0.07291148865472648,0.07433718738310247
2016-12-23,1482469200000,117.26,11.99,0.7031466670000001,0.07336295740179914,0.07529054121375224
2016-12-27,1482814800000,116.76,12.95,0.705553333,0.07582901706325114,0.07816511347626752
2016-12-28,1482901200000,116.73,13.37,0.705553333,0.08242388511305639,0.08262890684047773
2016-12-29,1482987600000,115.82,14.04,0.705553333,0.0816895670695678,0.08231158036686657
2016-12-30,1483074000000,116.15,12.85,0.7057399999999999,0.0877375522680492,0.0889258698477045
2017-01-03,1483419600000,116.02,11.85,0.711626667,0.08970264739592632,0.09042146962139636
2017-01-04,1483506000000,116.61,11.67,0.712923333,0.06515074797347689,0.07544057294004684
2017-01-05,1483592400000,117.91,11.32,0.712923333,0.078410469655167,0.07854523723677505
2017-01-06,1483678800000,118.99,11.56,0.7140333329999999,0.1128566394664312,0.11845473378306828
2017-01-09,1483938000000,119.11,11.49,0.7090333329999999,0.07809843176859269,0.12422593012829317
2017-01-10,1484024400000,119.75,11.26,0.709853333,0.08290406668741428,0.12238879739457259
2017-01-11,1484110800000,119.25,11.54,0.709073333,0.06260771432991856,0.12937011382259417
2017-01-12,1484197200000,119.04,11.23,0.70996,0.09897084355704566,0.1273199060295607
2017-01-13,1484283600000,120.0,11.87,0.710816667,0.085897253368605,0.09242719236160263
2017-01-17,1484629200000,119.99,12.48,0.7091466670000001,0.08022914281003891,0.08573891827396048
2017-01-18,1484715600000,119.78,12.78,0.7091466670000001,0.08119745938766587,0.08536147305610274
2017-01-19,1484802000000,120.0,11.54,0.711446667,0.07512844187280829,0.07513378681263128
2017-01-20,1484888400000,120.08,11.77,0.710553333,0.06509237456950133,0.0688488215807026
2017-01-23,1485147600000,119.97,11.07,0.712666667,0.060010321222949255,0.06760001839391966
2017-01-24,1485234000000,121.88,10.81,0.712666667,0.022219532230696726,0.022237531621041355
2017-01-25,1485320400000,121.94,10.63,0.711736667,0.11547720111505823,0.1283020007443181
2017-01-26,1485406800000,121.95,10.58,0.711003333,0.11041703783218906,0.127595178834411
2017-01-27,1485493200000,121.63,11.88,0.71137,0.11286971539039366,0.1267495715824483
2017-01-30,1485752400000,121.35,11.99,0.711736667,0.11988893451513707,0.1283700136555792
2017-01-31,1485838800000,128.75,11.81,0.71026,0.12284415760953186,0.12947994155419176
2017-02-01,1485925200000,128.53,11.93,0.710073333,0.4319228944393228,0.4743903846334486
2017-02-02,1486011600000,129.08,10.97,0.7119300000000001,0.43561295451703996,0.47457130181887996
2017-02-03,1486098000000,130.29,11.37,0.711,0.4301832684089322,0.47579870798591845
2017-02-06,1486357200000,131.53,11.29,0.71137,0.4134766573669765,0.4811591707995509
2017-02-07,1486443600000,132.04,11.45,0.709816667,0.392241975925041,0.4867406651603368
2017-02-08,1486530000000,132.42,10.88,0.71204,0.07400703416116093,0.11673237511033441
2017-02-09,1486616400000,132.12,10.85,0.710923333,0.050876569987348366,0.11818550421301316
2017-02-10,1486702800000,133.29,11.07,0.71,0.07870266129430219,0.11458675133378289
2017-02-13,1486962000000,135.02,10.74,0.708703333,0.07681279735244967,0.11195282970486035
2017-02-14,1487048400000,135.51,11.97,0.706296667,0.09303742312683329,0.1320390695404122
2017-02-15,1487134800000,135.345,11.76,0.7053733329999999,0.0932867073957083,0.13158902959786264
2017-02-16,1487221200000,135.72,11.49,0.7059266670000001,0.1037883352112872,0.12993122403481547
2017-02-17,1487307600000,136.7,11.57,0.7057399999999999,0.08827292329768072,0.13054825690290692
2017-02-21,1487653200000,137.11,11.74,0.70704,0.08492749106480585,0.12401991243133782
2017-02-22,1487739600000,136.53,11.71,0.7079633329999999,0.047871081197098424,0.07288194754967725
2017-02-23,1487826000000,136.66,11.47,0.7049966670000001,0.07001599031163346,0.07498022357542099
