Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2015-01-21,1421816400000,225.9816,16.4,0.6219,81.24469349706831,75.76674096861494,119.49573903138504,157.71529500111942,63.13669331036998,-63.13669331036998,-100.0,71.76099830671164,112.20240169328837,156.35568671122337,70.35997971908533,-70.35997971908533,-100.0,4.005742661903298,0.9942573380967019,24.82079908808441
2015-01-22,1421902800000,232.6616,16.4,0.6219,81.30679348127184,78.05783911634059,82.67464088365941,105.91459079521499,65.05444814891874,-65.05444814891874,-100.0,73.93515402439974,75.16424597560024,101.66239181809894,72.4927214271136,-72.4927214271136,-100.0,4.122685091940852,0.877314908059148,21.280182417380107
2015-01-23,1421989200000,232.9673,16.66,0.6229,81.3047067337444,78.15948117422566,86.71258382577429,110.94314153964622,65.13680526309628,-65.13680526309628,-100.0,74.03131802487101,79.19238197512897,106.97146030619646,72.5846749605243,-72.5846749605243,-100.0,4.1281631493546485,0.8718368506453515,21.119244058502023
2015-01-24,1422075600000,247.9855,15.52,0.6219,81.51151754658736,83.37969764995748,83.64407735004251,100.31707922616238,69.51985824907831,-69.51985824907831,-100.0,78.99063025640676,75.63386974359324,95.75043204248738,77.453194044955,-77.453194044955,-100.0,4.389067393550718,0.6109326064492819,13.919417308264267
2015-01-25,1422162000000,254.5073,17.22,0.6219,81.42907748057863,85.49784029404758,63.38322470595242,74.13429916821559,71.27349933721186,-71.27349933721186,-100.0,80.99121560969444,55.164484390305596,68.11168837883518,79.41334618144634,-79.41334618144634,-100.0,4.506624684353142,0.4933753156468583,10.947779107495723
2015-01-26,1422248400000,271.9491,17.22,0.6214,81.69029127726797,91.60943785425304,41.468917145746964,45.2670795903391,76.41156338536551,-76.41156338536551,-100.0,86.80117797762415,32.67972202237587,37.64893839436159,85.11652590511092,-85.11652590511092,-100.0,4.808259876628895,0.1917401233711047,3.9877237980226443
2015-01-27,1422334800000,262.0605,20.44,0.6224,81.42127383301043,88.02839948408848,57.64312551591154,65.4824191439841,73.38067525027013,-73.38067525027013,-100.0,83.38781426982446,49.18068573017557,58.978264583165334,81.76181507633147,-81.76181507633147,-100.0,4.640585214264021,0.3594147857359786,7.745031480754317
2015-01-28,1422421200000,233.2087,18.76,0.6179,82.1645554092451,78.94968686016252,78.88604813983748,99.91939332142286,65.92452579401422,-65.92452579401422,-100.0,74.83762533132955,71.33767466867047,95.32327402538002,73.40107157748922,-73.40107157748922,-100.0,4.112061528832967,0.8879384711670326,21.593511306700606
2015-01-29,1422507600000,232.4048,18.76,0.6179,82.16086227017918,78.67448683603203,78.74095316396796,100.08448269649912,65.6942251539165,-65.6942251539165,-100.0,74.57651328301863,71.21868671698137,95.49747444843086,73.1449115123707,-73.1449115123707,-100.0,4.097973553013404,0.9020264469865964,22.01152436240835
2015-01-30,1422594000000,226.5033,20.97,0.6204,82.17977095544394,76.69387138750318,85.06499361249682,110.91498195820336,64.03787374940691,-64.03787374940691,-100.0,72.70036410381555,77.7333358961844,106.92289764213812,71.29948764266159,-71.29948764266159,-100.0,3.9935072836876344,1.0064927163123656,25.203227258996325
2015-01-31,1422680400000,216.9137,19.43,0.6209,82.27270665005118,73.518849662491,87.54813533750898,119.08256962591688,61.397652283296786,-61.397652283296786,-100.0,69.69645130240629,80.5248486975937,115.53651182067223,68.35380669272817,-68.35380669272817,-100.0,3.822398360084705,1.177601639915295,30.807925521640275
2015-02-01,1422766800000,226.3959,19.43,0.6209,82.39900534545784,76.83424940991209,79.337645590088,103.258177439621,64.18318407959727,-64.18318407959727,-100.0,72.84764864515587,72.00445135484428,98.8425195514287,71.44631145535071,-71.44631145535071,-100.0,3.9866007647562185,1.0133992352437815,25.42013346816159
2015-02-02,1422853200000,237.5409,17.33,0.6194,82.5593948582763,80.7507265279734,66.46241847202657,82.30566005991645,67.48023955491512,-67.48023955491512,-100.0,76.57173992882701,58.76436007117295,76.74418803307078,75.10495890455512,-75.10495890455512,-100.0,4.178986599146384,0.8210134008536158,19.64623196019148
2015-02-03,1422939600000,226.9566,18.33,0.61815,82.66491619742652,77.23670998820899,76.08752001179104,98.5121194615962,64.56020520885188,-64.56020520885188,-100.0,73.24636152672805,68.73003847327197,93.83406498381758,71.84775649582582,-71.84775649582582,-100.0,3.9903484614809344,1.0096515385190656,25.30234009047808
2015-02-04,1423026000000,226.7291,18.33,0.6254,82.66503411282815,77.16505577201767,96.05429922798237,124.47901225105379,64.48573867684935,-64.48573867684935,-100.0,73.17863155808384,88.70426844191614,121.21607982175672,71.76509251053824,-71.76509251053824,-100.0,3.98642421393383,1.0135757860661698,25.425688077134332
2015-02-05,1423112400000,216.7714,16.85,0.6254,82.73955275107878,73.83339435528269,105.57177564471728,142.98648540619854,61.71093932959978,-61.71093932959978,-100.0,70.02368029979732,98.54291970020269,140.7279926994753,68.67222237802581,-68.67222237802581,-100.0,3.8097140554853723,1.1902859445146277,31.243445759421455
2015-02-06,1423198800000,222.4823,17.29,0.629,82.6810021778098,75.73507479955734,88.3117402004426,116.60613055994341,63.285689161489536,-63.285689161489536,-100.0,71.82363972264734,81.09906027735263,112.9141611181542,70.42861799836544,-70.42861799836544,-100.0,3.9114350769099957,1.0885649230900043,27.830320628764273
2015-02-07,1423285200000,227.3275,18.55,0.6315,82.05389620866835,76.87997939272509,82.44289560727488,107.23584509060908,64.15410701927891,-64.15410701927891,-100.0,72.86892167093873,75.08757832906127,103.04472278064102,71.43787180415326,-71.43787180415326,-100.0,4.011057721786358,0.9889422782136421,24.65539882016977
2015-02-08,1423371600000,222.8677,18.55,0.6315,81.9937559509046,75.32407272762335,84.05261227237662,111.58798140976292,62.84786150652822,-62.84786150652822,-100.0,71.39034850721372,76.84295149278627,107.63773128943556,69.98737353763991,-69.98737353763991,-100.0,3.93372422040963,1.0662757795903701,27.106012517556092
2015-02-09,1423458000000,220.1743,17.23,0.6559999999999999,81.99210285054325,74.43116400786265,89.72425099213737,120.5466180572686,62.05481351918523,-62.05481351918523,-100.0,70.54467795072789,82.6020220492721,117.09178416969412,69.1050616468569,-69.1050616468569,-100.0,3.8864860571347606,1.1135139428652394,28.650918245829416
2015-02-10,1423544400000,220.0829,16.96,0.6636,81.99254022146269,74.40640382801888,96.47484117198113,129.65932528464978,62.01940559154135,-62.01940559154135,-100.0,70.52145883873254,89.35564116126743,126.70702312838512,69.06582385296674,-69.06582385296674,-100.0,3.884944989286339,1.115055010713661,28.701951090393575
2015-02-11,1423630800000,219.4922,16.96,0.6646,81.98347027837826,74.20038266466479,95.00202733533524,128.0344169715131,61.8445596164167,-61.8445596164167,-100.0,70.3256523276234,87.90214767237663,124.99300719298029,68.87174385578328,-68.87174385578328,-100.0,3.8747303370413846,1.1252696629586154,29.04123810117413
2015-02-12,1423717200000,221.8513,15.34,0.6646,81.94360940199934,74.96645488981278,97.40081011018715,129.92585851011478,62.47783157734973,-62.47783157734973,-100.0,71.04918280605669,90.22551719394329,126.99022512367573,69.57964774030607,-69.57964774030607,-100.0,3.917272083756089,1.0827279162439112,27.639844593223508
2015-02-13,1423803600000,235.7869,14.69,0.6716,81.82436285509102,79.58124579898234,88.60319920101765,111.3367833230762,66.29257359589924,-66.29257359589924,-100.0,75.41497817237142,80.98012182762855,107.37936122256404,73.8367390112313,-73.8367390112313,-100.0,4.166267626610917,0.8337323733890827,20.01149345432926
2015-02-14,1423890000000,257.4741,14.69,0.6736,81.76940340188001,86.85244148663782,75.28516351336222,86.68168933966558,72.3366449990234,-72.3366449990234,-100.0,82.30150825915422,66.96239174084582,81.36228989873673,80.57299090377059,-80.57299090377059,-100.0,4.550933227483597,0.44906677251640303,9.86757550746819
2015-02-15,1423976400000,234.3292,15.8,0.6736,82.26858521342626,79.46079645120152,97.41146354879852,122.59059548770172,66.24985609523762,-66.24985609523762,-100.0,75.33081019833642,89.82498980166359,119.24070584819924,73.75767298153227,-73.75767298153227,-100.0,4.129986252865095,0.8700137471349052,21.065778282708585
2015-02-16,1424062800000,233.5618,15.45,0.6726,82.09927472607221,79.05927290859913,106.41801709140086,134.60535769716898,65.89380074865498,-65.89380074865498,-100.0,74.93881865243306,98.86038134756693,131.92145689683514,73.37315322091294,-73.37315322091294,-100.0,4.12045425616607,0.8795457438339298,21.345844150987237
2015-02-17,1424149200000,243.5983,15.45,0.6746,82.19618101896441,82.54212700199015,101.60048799800984,123.08925355844072,68.80631750943647,-68.80631750943647,-100.0,78.2469778619658,93.7157221380342,119.76912680686087,76.60919418559355,-76.60919418559355,-100.0,4.29514914002435,0.7048508599756502,16.410393143453323
2015-02-18,1424235600000,236.2137,15.29,0.6841,82.24430410313178,80.08803665655287,117.14594834344713,146.27146978994162,66.74744962735036,-66.74744962735036,-100.0,75.92413572535581,109.49916427464413,144.22181198181949,74.31371253672154,-74.31371253672154,-100.0,4.1639009311970625,0.8360990688029375,20.0797060885541
2015-02-19,1424322000000,239.835,14.3,0.6841,82.26312516275769,81.33186862170801,111.15888137829201,136.67321710671104,67.78676226187882,-67.78676226187882,-100.0,77.10458964313919,103.3944103568608,134.09631104373685,75.46947768542424,-75.46947768542424,-100.0,4.227278978568819,0.772721021431181,18.279394980758813
2015-02-20,1424408400000,243.7756,14.3,0.6709,81.54834583921756,82.03765855039518,122.8925214496048,149.8001327940299,68.30036287914211,-68.30036287914211,-100.0,77.72341425640566,115.01798574359434,147.98370200793772,76.0933977603498,-76.0933977603498,-100.0,4.314244293989518,0.6857557060104824,15.895152413271028
2015-02-21,1424494800000,244.2557,14.56,0.6744,81.48529261873243,82.14740873948644,124.79467626051355,151.91553595594738,68.37499131247239,-68.37499131247239,-100.0,77.82306104146005,116.90623895853994,150.22056109596932,76.18134269723474,-76.18134269723474,-100.0,4.324347698026386,0.6756523019736136,15.624375030758474
2015-02-22,1424581200000,235.5299,13.69,0.6744,81.30934053238754,79.0653109278198,135.2532840721802,171.06526551910412,65.78489986947856,-65.78489986947856,-100.0,74.89123575228639,127.65086424771357,170.448334795726,73.30816621719039,-73.30816621719039,-100.0,4.174075175533403,0.8259248244665969,19.7870136433528
