Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2014-08-11,1407729600000,259.959991,14.13,0.157,35.4216080890314,10.54329116887385,-10.54329116887385,-100.0,10.509747811029925,-2.689755811029912,-25.59296245155404,21.053038979903775,-13.233046979903788,-62.855756798509816,31.596330148777625,-23.77633814877761,-75.25031558039171
2014-08-12,1407816000000,260.309998,12.9,0.156,35.403055505946504,10.551867694316217,-10.551867694316217,-100.0,10.518493100003326,2.8415078999966847,27.014400950605626,21.07036079431954,-7.710359794319558,-36.593392346647576,31.62222848863576,-18.262227488635748,-57.75123500609307
2014-08-13,1407902400000,261.380005,12.42,0.1555,32.52695903008479,9.73645915279019,-9.73645915279019,-100.0,9.703054774544897,5.0769442254550805,52.3231533101719,19.439513927335085,-4.659514927335111,-23.96929750791291,29.175973080125274,-14.395974080125299,-49.34188155640938
2014-08-14,1407988800000,262.01001,13.15,0.156,32.496347153846415,9.750815972434182,-9.750815972434182,-100.0,9.717223417953562,7.032791582046428,72.37449711254584,19.468039390387744,-2.718024390387754,-13.96146954443582,29.218855362821927,-12.468840362821936,-42.673952172292445
2014-08-15,1408075200000,259.940002,12.32,0.155,31.141886914321827,9.271438179558231,-9.271438179558231,-100.0,9.238324644799393,8.021684355200605,86.83050946598118,18.509762824357622,-1.2497538243576545,-6.751862982885232,27.781201003915854,-10.521192003915857,-37.87162406129548
2014-08-18,1408334400000,256.76001,12.21,0.155,30.92636872175095,9.094792086917792,-9.094792086917792,-100.0,9.062083648622833,7.457921351377195,82.29808552374794,18.156875735540627,-1.6368707355405692,-9.015156348382813,27.251667822458415,-10.73166282245839,-39.37983866666062
2014-08-19,1408420800000,255.710007,11.78,0.1555,30.798331863574592,9.020243199200653,-9.020243199200653,-100.0,8.987563446994912,-4.697554446994914,-52.26727438086228,18.007806646195558,-13.717797646195564,-76.17694878511853,27.028049845396218,-22.73804084539622,-84.12756738077894
2014-08-20,1408507200000,254.339996,11.76,0.1555,30.316190254809122,8.83180581824331,-7.961794818243336,-90.1491153915222,8.799301153514676,-8.799301153514676,-100.0,17.63110697175799,-16.761095971757978,-95.06547716264431,26.462912790001297,-24.722890790001344,-93.42467696656053
2014-08-21,1408593600000,256.77999900000003,11.47,0.1555,30.161594773136677,8.871176299803663,-5.03118029980368,-56.71379002934514,8.838359802564582,-8.838359802564582,-100.0,17.709536102368244,-13.869540102368262,-78.31678945285036,26.58071240217191,-18.900720402171938,-71.10689930427733
2014-08-22,1408680000000,262.549988,11.7,0.155,28.952257335826626,8.70766568140148,-8.70766568140148,-100.0,8.674219662756116,-5.694238662756107,-65.64554373928362,17.381885344157595,-14.401904344157586,-82.85582408929166,26.089551025559075,-23.109570025559066,-88.57787549858324
2014-08-25,1408939200000,261.73999,11.63,0.155,26.900874286671296,8.067230598733687,-8.067230598733687,-100.0,8.033887765041499,-5.573896765041553,-69.37981868872626,16.101118363775186,-13.641127363775242,-84.72161408654375,24.168348962508873,-21.708357962508927,-89.82143544924809
2014-08-26,1409025600000,263.25,11.78,0.155,26.41799699887886,7.968498733395362,-7.968498733395362,-100.0,7.93496354081941,-1.6949735408194329,-21.360823299314113,15.903462274214776,-9.663472274214797,-60.76332378190853,23.871961007610132,-17.631971007610154,-73.8605890064468
2014-08-27,1409112000000,263.859985,12.05,0.155,26.089289585390816,7.887840475744468,-7.887840475744468,-100.0,7.854227577700571,19.095753422299442,243.12707052842967,15.742068053445037,11.20791294655494,71.19720807014406,23.629908529189507,3.3200724708105014,14.050297599371952
2014-08-28,1409198400000,269.700012,11.98,0.156,26.1222520218118,8.072690091737599,-8.072690091737599,-100.0,8.038111594730793,37.071904405269215,461.2016637038341,16.110801686468392,28.999214313531642,179.99858031824908,24.18349177820599,20.92652422179401,86.53226925920129
2014-08-29,1409284800000,284.119995,12.25,0.1567,29.186080493352733,9.499154738050038,-9.499154738050038,-100.0,9.462563995910076,47.597433004089936,503.0077791247973,18.961718733960108,38.0982782660399,200.92207252186765,28.46087347201015,28.59912352798986,100.485754789345
2014-09-02,1409630400000,281.190002,12.36,0.157,29.46552240478136,9.491012991252774,-9.491012991252774,-100.0,9.454730266272893,42.03527473372711,444.5951766987602,18.945743257525663,32.544261742474305,171.77611508879184,28.43675624877844,23.053248751221556,81.06848949134925
2014-09-03,1409716800000,286.040009,12.64,0.1565,29.544616721651877,9.680509661964436,-9.680509661964436,-100.0,9.643718662689594,50.0462843373104,518.9521396028853,19.32422832465403,40.36577467534596,208.88686470262272,29.004737986618466,30.685265013381525,105.7939741691112
2014-09-04,1409803200000,277.390015,12.09,0.1565,31.6355836975416,10.050464950670316,-10.050464950670316,-100.0,10.014786529751518,39.895232470248494,398.36328364792763,20.06525148042184,29.84476751957817,148.73856701321913,30.11571643109215,19.794302568907856,65.72748356891742
2014-09-05,1409889600000,282.109985,12.66,0.1561,31.68290122754808,10.236686032173397,-10.236686032173397,-100.0,10.200493256486851,41.43949074351315,406.24987146734617,20.437179288660246,31.20280471133978,152.67666966474644,30.673865320833645,20.966118679166353,68.35173350300327
2014-09-08,1410148800000,278.480011,13.5,0.1561,32.24354030718534,10.283336472173515,-10.283336472173515,-100.0,10.247609397248084,32.892405602751886,320.97637924787506,20.5309458694216,22.60906913057841,110.12190706835344,30.814282341595113,12.325732658404863,40.00006400203191
2014-09-09,1410235200000,281.100006,12.88,0.1528,32.19362307490274,10.363686184492934,-10.363686184492934,-100.0,10.328385321034574,39.67161467896543,384.1027754664715,20.692071505527508,29.30792849447249,141.63844584938445,31.055757690020442,18.944242309979558,61.00074098680633
2014-09-10,1410321600000,280.309998,12.8,0.1535,32.18702921643392,10.332526057039075,-10.332526057039075,-100.0,10.297163149751839,34.72284185024816,337.2078439981305,20.629689206790914,24.390315793209087,118.22919651731951,30.96221526382999,14.057789736170008,45.4030488980945
2014-09-11,1410408000000,279.200012,13.31,0.1535,30.95017309588396,9.897075061069387,-9.897075061069387,-100.0,9.861852185647905,34.098154814352114,345.7581210147892,19.75892724671729,24.20107975328275,122.48174939407946,29.65600230778668,14.30400469221334,48.233084634126776
2014-09-12,1410494400000,253.860001,14.12,0.1535,41.26272804499219,11.988824810864998,-11.988824810864998,-100.0,11.956798740645098,20.233204259354924,169.2192425266438,23.945623551510096,8.244379448489894,34.429587647843796,35.93444836237509,-3.7444453623750746,-10.420211059356818
2014-09-15,1410753600000,260.73999,12.73,0.1536,41.46624486929496,12.37433191983591,-12.37433191983591,-100.0,12.341416466818941,5.628569533181037,45.607159828970794,24.715748386654855,-6.745762386654874,-27.293377004506226,37.09008030649076,-19.120094306490785,-51.550425743200044
2014-09-16,1410840000000,261.380005,12.65,0.1536,41.45625659582488,12.401725557093327,-12.401725557093327,-100.0,12.368729309474544,10.91126969052543,88.21657760888428,24.77045486656787,-1.4904558665678955,-6.0170710412731685,37.172180423661196,-13.89218142366122,-37.37252231461363
2014-09-17,1410926400000,263.820007,12.03,0.1536,39.76388260434703,12.007737830553241,-12.007737830553241,-100.0,11.974433560481927,13.185569439518066,110.1143479807941,23.98217139103517,1.1778316089647944,4.911280091197591,35.989909221588405,-10.829906221588416,-30.091507469244018
2014-09-18,1411012800000,259.320007,12.11,0.1535,39.97473690045745,11.865342453571898,-11.865342453571898,-100.0,11.8326275685136,5.787382431486377,48.91037428479954,23.6979700220855,-6.0779600220855485,-25.64759773272204,35.5633124756574,-17.94330247565742,-50.45453088190074
2014-09-19,1411099200000,250.02999900000003,13.69,0.153,41.114590477835605,11.765613612552329,-11.765613612552329,-100.0,11.734173460805767,-4.294170460805745,-36.59542340284164,23.499787073358092,-16.059784073358053,-68.3401259050775,35.26540068591042,-27.825397685910403,-78.90282584263242
2014-09-22,1411358400000,250.410004,14.93,0.1535,38.96361839054247,11.168555186256812,-11.168555186256812,-100.0,11.136964355325249,0.3430466446747431,3.0802526948082765,22.30551954158206,-10.825508541582069,-48.53286883276179,33.474074727838875,-21.994063727838885,-65.70476975588339
2014-09-23,1411444800000,252.139999,13.27,0.154,39.02042179093032,11.262118748329794,-11.262118748329794,-100.0,11.230206061329255,9.939791938670737,88.50943503964717,22.492324809659053,-1.3223268096589995,-5.8790134894866135,33.75444355798884,-12.58444555798885,-37.28233746875209
2014-09-24,1411531200000,246.949997,15.64,0.1545,39.42952408130049,11.145708773685367,-11.145708773685367,-100.0,11.114351497957387,-5.384355497957387,-48.44507121217944,22.26006027164276,-16.5300642716427,-74.25884777455191,33.40576904532812,-27.67577304532812,-82.84728607138186
2014-09-25,1411617600000,246.600006,14.85,0.1545,39.390693482148784,11.118978681287217,-11.118978681287217,-100.0,11.087665846800064,-4.687656846800053,-42.27812157734647,22.20664452808728,-15.806635528087297,-71.17975661786652,33.3256232093745,-26.925614209374487,-80.7955309348883
2014-09-26,1411704000000,245.25999500000003,15.98,0.1535,39.38115148624321,11.05579021699208,-11.05579021699208,-100.0,11.024849092785542,-7.6948470927855075,-69.79548679555961,22.080639309777627,-18.750637309777613,-84.91890586462578,33.1364295267697,-29.806427526769667,-89.95063123107501
2014-09-29,1411963200000,242.679993,16.31,0.1515,39.422001326237826,10.950618204649803,-2.5506092046497884,-23.291919752683558,10.920401440289183,-10.920401440289183,-100.0,21.871019644938983,-13.471010644939001,-61.59297034903551,32.82163784958879,-16.021619849588767,-48.81419971486736
