Datetime,Price,Timestamp,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2011-07-08,51.3871,1310097600000,15.95,0.73475,24.52074203374432,5.186275299999174,19.69802470000083,379.81062632760666,4.810092277503621,-4.810092277503621,-100.0,9.996367577502795,14.887932422497208,148.93342313665082
2011-07-11,50.5714,1310356800000,18.39,0.7405,24.353989027888087,5.0720334605475115,19.543666539452488,385.3221137335085,4.698935344194375,-4.698935344194375,-100.0,9.770968804741887,14.844731195258117,151.92691218146058
2011-07-12,50.5357,1310443200000,19.87,0.7425,24.33384252840055,5.064903154334306,18.93229684566569,373.79385683740713,4.691065172832519,-4.691065172832519,-100.0,9.755968327166826,14.241231672833173,145.97455829347578
2011-07-13,51.1457,1310529600000,19.91,0.743,24.346650971569158,5.128741005995328,17.915558994004673,349.3168981054412,4.750136711681453,-4.750136711681453,-100.0,9.87887771767678,13.16542228232322,133.26840010141697
2011-07-14,51.11,1310616000000,20.8,0.7435,24.31354527617669,5.118606237718883,18.081093762281125,353.2425219397029,4.740012553767811,-4.740012553767811,-100.0,9.858618791486695,13.341081208513312,135.32403971268127
2011-07-15,52.1314,1310702400000,19.53,0.7485,24.149897096976556,5.188454717469799,15.965745282530206,307.7167702509323,4.799707888444778,-4.799707888444778,-100.0,9.988162605914578,11.166037394085425,111.79270737416066
2011-07-18,53.4,1310961600000,20.95,0.74975,24.1850733798229,5.322429456772895,14.857570543227105,279.15016373435554,4.923560086775833,-4.923560086775833,-100.0,10.245989543548728,9.934010456451272,96.95511023340943
2011-07-19,53.8357,1311048000000,19.21,0.75125,24.180034885092674,5.365158430345069,13.597541569654927,253.44156647356232,4.962233117313723,-4.962233117313723,-100.0,10.327391547658792,8.635308452341206,83.61558107379807
2011-07-20,55.2714,1311134400000,19.09,0.75175,24.25470335765933,5.524639805880324,15.228660194119673,275.6498292958497,5.110694921146237,-5.110694921146237,-100.0,10.63533472702656,10.117965272973436,95.13537215957686
2011-07-21,55.3271,1311220800000,17.56,0.75225,24.247082177559204,5.528671912306422,17.577028087693574,317.92496220599367,5.114035309764109,-5.114035309764109,-100.0,10.64270722207053,12.462992777929468,117.10359514620569
