Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Bull-Spreads,95-Bull-Spreads-P,95-Bull-Spreads-ROI
2016-12-17,1481950800000,788.5763,12.79,0.7390000000000001,21.72056600166899,45.302205795805435,35.814109204194544,79.05599423927082,5.418498829927472,-5.418498829927472,-100.0,19.821447807050898,21.8660521929491,110.3151112158966,19.34261415875841,-19.34261415875841,-100.0,25.480757988754537,-20.480757988754537,-80.37734983313032
2016-12-18,1482037200000,788.5888,12.79,0.7390000000000001,20.85640835828447,44.77421530457343,110.52022469542658,246.838998614762,4.889876128043227,-4.889876128043227,-100.0,19.042986668687718,96.82201333131228,508.43922235431813,18.564145430234817,-18.564145430234817,-100.0,25.731228635885714,-20.731228635885714,-80.56835889668005
2016-12-19,1482123600000,790.1563,12.2,0.7440000000000001,20.85611075767036,44.865497923250246,88.73731707674972,197.78520507796296,4.8987965536236135,-4.8987965536236135,-100.0,19.08216732334461,75.01283267665542,393.1043649579928,18.59912903952693,-18.59912903952693,-100.0,25.783330599905636,-20.783330599905636,-80.60762561056289
2016-12-20,1482210000000,798.785,11.71,0.7490000000000001,17.713471798080352,43.561982394047725,95.61356760595221,219.4885594072889,3.1557182417149217,-3.1557182417149217,-100.0,16.423223252636713,82.81307674736331,504.2437496796972,15.931629408075707,-15.931629408075707,-100.0,27.13875914141101,-22.13875914141101,-81.57616575633885
2016-12-21,1482296400000,833.1025,11.71,0.755,22.206047333245273,48.189049540398855,51.98737545960115,107.88213495685984,6.042945851767937,-6.042945851767937,-100.0,21.408222209603593,37.113077790396396,173.35898995736184,20.89140253736048,-20.89140253736048,-100.0,26.780827330795262,-21.780827330795262,-81.32992704728542
2016-12-22,1482382800000,858.7363,11.45,0.755,23.712156854471363,50.726994390813616,53.48482060918628,105.43660481266771,7.284093738143582,-7.284093738143582,-100.0,23.54485479158541,37.73014520841457,160.24794182166198,23.012133051932487,-23.012133051932487,-100.0,27.182139599228204,-22.182139599228204,-81.60556867958265
2016-12-23,1482469200000,916.7875,11.27,0.7561100000000001,31.33357677996057,60.40063872273277,-6.017463722732828,-9.962582929554447,14.020172213207983,-14.020172213207983,-100.0,33.11943355900996,-24.57563355900993,-74.20306121849195,32.549863548983865,-32.549863548983865,-100.0,27.28120516372281,-22.28120516372281,-81.67236392236532
2016-12-24,1482555600000,894.2025,11.43,0.7611100000000001,32.930228718465315,60.27100349472414,2.9241215052758207,4.851622398375673,15.0296278505854,-15.0296278505854,-100.0,33.93598040703955,-15.450980407039538,-45.52978939083322,33.376769202682965,-33.376769202682965,-100.0,26.33502308768459,-21.33502308768459,-81.01387652726905
2016-12-25,1482642000000,894.4825,11.43,0.7611100000000001,32.97294664825225,60.326448985051,-24.43732398505097,-40.50847413728359,15.070906991365776,-15.070906991365776,-100.0,33.99024588702679,-33.99024588702679,-100.0,33.430859577884405,-24.59585957788448,-73.57232176631031,26.336203098024214,-21.336203098024214,-81.01472721261362
2016-12-26,1482728400000,902.5538,11.44,0.7611100000000001,32.60241746689699,60.551191540097186,-23.86730154009729,-39.41673307005409,14.887289342502385,-14.887289342502385,-100.0,33.91501492452636,-33.91501492452636,-100.0,33.350581032321145,-24.906781032321128,-74.68170047227409,26.636176615570825,-21.636176615570825,-81.22853714268763
2016-12-27,1482814800000,931.1138,11.99,0.7611100000000001,33.31260946131742,63.10020091468903,-32.55831091468906,-51.59779278469753,15.991331063350742,-15.991331063350742,-100.0,35.74342490862421,-35.74342490862421,-100.0,35.16113032826792,-19.14733032826797,-54.455957898698166,27.35677600606482,-22.35677600606482,-81.72299250872423
2016-12-28,1482901200000,978.0088,11.99,0.77,36.20533063541684,69.03144209091272,-69.03144209091272,-100.0,19.54317707664046,-8.997317076640401,-46.03814948488954,40.77771091857812,-40.77771091857812,-100.0,40.1589477456597,19.287352254340252,48.02753392965777,28.253731172334597,-23.253731172334597,-82.30322229123534
2016-12-29,1482987600000,969.625,12.95,0.77,36.6177478697084,68.83292999626133,-68.83292999626133,-100.0,19.76889400347284,-18.905144003472746,-95.63076214659071,40.88474308898736,-40.88474308898736,-100.0,40.27128414920981,9.073715850790222,22.531478800554382,27.948186907273964,-22.948186907273964,-82.10975181828819
2016-12-30,1483074000000,960.4713,13.37,0.7711100000000001,37.15908828316064,68.69658430919628,-67.10051930919633,-97.67664576623457,20.0949031553738,-20.0949031553738,-100.0,41.09283877408154,-41.09283877408154,-100.0,40.48429545426831,5.943204545731702,14.68027164371735,27.60374553511474,-22.60374553511474,-81.88651611195482
2016-12-31,1483160400000,968.2275,13.37,0.77167,37.08649136512599,69.1821759816961,-68.75700098169614,-99.3854269629905,20.187593203543717,-20.187593203543717,-100.0,41.34464191934404,-41.34464191934404,-100.0,40.73073899497285,7.255461005027088,17.813231932576976,27.837534062352063,-22.837534062352063,-82.03863895127807
