Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2015-09-12,1442030400000,234.8185,23.2,0.85555,69.27892821082838,64.35881619152771,306.63148380847235,476.4405282035592,62.35839601416953,-62.35839601416953,-100.0,66.99522775754855,311.03962724245144,464.27131850060135,58.01026518551116,-58.01026518551116,-100.0,61.836531888385636,302.1092131116144,488.5610558769994,66.82065410570671,-66.82065410570671,-100.0,119.8467970738968,244.0989479261032,203.6758210364131
2015-09-13,1442116800000,230.328,24.25,0.85555,69.2950832455573,63.141983647523936,312.83751635247614,495.45088430990967,61.17981806597665,-61.17981806597665,-100.0,65.72774732680992,317.16159267319006,482.5383579574192,56.91460671270907,-56.91460671270907,-100.0,60.66813552595289,308.4015244740471,508.3418532651588,65.55694497695923,-65.55694497695923,-100.0,117.58274223866196,251.48691776133802,213.88080680316665
2015-09-14,1442203200000,230.2406,22.54,0.85455,69.29462219775286,63.11678410852147,313.5639158914785,496.79957608794564,61.1576458912901,-61.1576458912901,-100.0,65.70156148722168,317.88635651277826,483.83379225256925,56.89397941650726,-56.89397941650726,-100.0,60.64388123351321,309.1296007664868,509.74573935359297,65.53318686976492,-65.53318686976492,-100.0,117.53786065002046,252.23562134997948,214.59946604016702
2015-09-15,1442289600000,229.9241,22.54,0.85455,69.29275078355393,63.02841111903598,315.26748888096404,500.1990107057391,61.07196602910601,-61.07196602910601,-100.0,65.60966205261299,319.583960947387,487.0989286472925,56.81418731538093,-56.81418731538093,-100.0,60.55888427902957,310.83929272097043,513.2843783725526,65.44146883640167,-65.44146883640167,-100.0,117.3730715944105,254.02510540558953,216.42537078980783
2015-09-16,1442376000000,228.7976,21.35,0.86655,69.2784909083175,62.717452099513366,313.6949479004867,500.1717024517338,60.74337204500644,-60.74337204500644,-100.0,65.28639852371829,317.98992947628176,487.06918541502523,56.50761287084658,-56.50761287084658,-100.0,60.25970108335847,309.2887709166416,513.2597164542788,65.0903266272163,-65.0903266272163,-100.0,116.76731395420505,252.781158045795,216.4828062628324
2015-09-17,1442462400000,232.7924,21.14,0.86655,69.2834279714328,63.81679621713377,309.72460378286615,485.3339906457263,61.808248777471846,-61.808248777471846,-100.0,66.43052498478194,314.09464701521813,472.8167466494833,57.49846196830987,-57.49846196830987,-100.0,61.31619530088121,305.24143269911883,497.8153507426316,66.2311634380294,-66.2311634380294,-100.0,118.81465726919109,247.74297073080893,208.51212840644135
2015-09-18,1442548800000,232.7167,21.14,0.8708,68.87907875829599,63.44756780431153,309.1295321956885,487.22046075764916,61.4298685931148,-61.4298685931148,-100.0,66.06634798408427,313.4922530159157,474.51124904230767,57.12767874922353,-57.12767874922353,-100.0,60.94261921422425,304.65297978577576,499.9013559211589,65.84589002669159,-65.84589002669159,-100.0,118.07029796344779,247.5253010365522,209.64231081485124
2015-09-19,1442635200000,231.2382,22.28,0.82455,68.51216149202314,62.68748558423072,314.7731144157692,502.1307067625499,60.788650187959654,-60.788650187959654,-100.0,65.29435196489995,319.10339403510005,488.71515595504997,56.515335630517036,-56.515335630517036,-100.0,60.194432029551784,310.32902197044825,515.5443975583918,65.17577757139253,-65.17577757139253,-100.0,116.70976766006882,253.8136863399312,217.47424523986197
2015-09-20,1442721600000,230.8605,20.14,0.82455,68.40211677779196,62.48990860363777,315.17709139636224,504.3647821530254,60.594174728348854,-60.594174728348854,-100.0,65.09409854344061,319.4987164565593,490.8259329274552,56.32942168441041,-56.32942168441041,-100.0,59.99954974127275,310.7416352587273,517.9066119640777,64.97275884972518,-64.97275884972518,-100.0,116.32897142568316,254.41221357431687,218.7006473592421
2015-09-21,1442808000000,226.6056,20.14,0.8388,68.38124445762486,61.3323327698401,311.5358672301598,507.94720037675836,59.439514574532566,-59.439514574532566,-100.0,63.888990673171094,315.77737732682886,494.2594553453061,55.25478902372275,-55.25478902372275,-100.0,58.8874377881528,307.1825942118472,521.6436743553603,63.736003046986006,-63.736003046986006,-100.0,114.14222681187556,251.9278051881244,220.713939288517
2015-09-22,1442894400000,230.5237,22.44,0.84155,68.40281425984654,62.41375446288438,302.86134553711565,485.2477601186744,60.481922333296566,-60.481922333296566,-100.0,65.01434158904834,307.1764694109517,472.4749369186807,56.22475342334816,-56.22475342334816,-100.0,59.92682103586822,298.4325679641318,497.994992568536,64.85274494239272,-64.85274494239272,-100.0,116.15157445921639,242.20781454078363,208.5273623439591
2015-09-23,1442980800000,229.9556,22.13,0.8458,67.81761072718913,61.75909916614128,303.32030083385865,491.13459381569237,59.82233681527998,-59.82233681527998,-100.0,64.36172518298316,307.61634281701686,477.9491878790544,55.584397702647706,-55.584397702647706,-100.0,59.270936071312896,298.9097959286871,504.31090807988653,64.1747388499257,-64.1747388499257,-100.0,114.85533377396061,243.3253982260393,211.85380794322742
2015-09-24,1443067200000,234.2833,22.13,0.8458,67.78674008098177,62.894263083119114,304.5362369168808,484.203521892633,60.921051407145434,-60.921051407145434,-100.0,65.5463216621153,308.91267733788465,471.2891120424704,56.60380733642079,-56.60380733642079,-100.0,60.358880773678955,300.0431202263211,497.09854851576813,65.35497174742603,-65.35497174742603,-100.0,116.96268811009975,243.43931288990024,208.1341638290196
2015-09-25,1443153600000,234.8379,23.47,0.84685,67.7171194286173,62.98273416077584,303.5206658392242,481.9109076218064,61.00240644226857,-61.00240644226857,-100.0,65.64210579586074,307.90643120413927,469.06848503869173,56.67605090890872,-56.67605090890872,-100.0,60.4404483424039,299.01781465759615,494.73129809298723,65.44584779234133,-65.44584779234133,-100.0,117.11649925131262,242.3417637486874,206.92367454449104
2015-09-26,1443240000000,234.2083,23.62,0.86085,67.6995033282292,62.810503619633465,302.1574963803665,481.06205008347916,60.802974772647715,-60.802974772647715,-100.0,65.46318083427114,306.5310681657288,468.24957825033516,56.48962885269498,-56.48962885269498,-100.0,60.27462367665662,297.6671273233433,493.8514903389184,65.23311796426134,-65.23311796426134,-100.0,116.7642525293516,241.17749847064835,206.550800648531
2015-09-27,1443326400000,232.8486,23.62,0.86085,67.69681478502544,62.44350814562375,311.52039185437616,498.8835526791404,60.44763403919694,-60.44763403919694,-100.0,65.08082435126818,315.8685336487318,485.34808339835786,56.1593684680342,-56.1593684680342,-100.0,59.92231628092377,307.0561257190762,512.4236591248515,64.85202395130419,-64.85202395130419,-100.0,116.08168474895797,250.896757251042,216.13810808624936
2015-09-28,1443412800000,239.3428,27.63,0.85485,67.52706104037009,64.02735104128489,301.39234895871516,470.72437646901426,61.99004945839272,-61.99004945839272,-100.0,66.74068622822743,305.85929777177256,458.28012125295135,57.584219692822025,-57.584219692822025,-100.0,61.4337169121001,296.80569908789994,483.13159939935287,66.51558028172116,-66.51558028172116,-100.0,119.01793660492213,239.2214793950779,200.99615757007217
2015-09-29,1443499200000,236.6214,26.83,0.85235,67.53424319583391,63.30353176535787,303.5938682346422,479.5844082759067,61.29526017232442,-61.29526017232442,-100.0,65.98587694727237,308.01016505272764,466.7819529000891,56.93921150202997,-56.93921150202997,-100.0,60.739514126636315,299.05924387336376,492.363576122543,65.76963638581186,-65.76963638581186,-100.0,117.67872562866629,242.12003237133374,205.74664713428356
2015-09-30,1443585600000,236.2455,24.5,0.8511,67.45998607590106,63.13605013042678,305.67724986957325,484.1564355674825,61.133896928713206,-61.133896928713206,-100.0,65.81521574152579,310.08544925847417,471.14553339194987,56.785762135863685,-56.785762135863685,-100.0,60.57516965219604,301.150765347804,497.15216164794737,65.60031685443107,-65.60031685443107,-100.0,117.36093178805973,244.36500321194032,208.21665224440724
2015-10-01,1443672000000,237.5698,24.5,0.8511,67.45363859913937,63.48430746442094,307.3833925355791,484.1879904066823,61.47093097386154,-61.47093097386154,-100.0,66.1785858078445,311.81620819215544,471.1738765429982,57.09851661200194,-57.09851661200194,-100.0,60.9089897751124,302.8316162248876,497.18706112677233,65.96230598983621,-65.96230598983621,-100.0,118.00750638711435,245.73309961288567,208.2351429465661
2015-10-02,1443758400000,237.4021,22.55,0.84735,67.41241908389519,63.399481016017894,313.1322189839821,493.903442056362,61.39635305943963,-61.39635305943963,-100.0,66.09242123703761,317.5613417629624,480.4807205111194,57.027324119156724,-57.027324119156724,-100.0,60.82550070883578,308.58413629116427,507.32691501927576,65.88434191356018,-65.88434191356018,-100.0,117.8528248279925,251.55681217200754,213.44996400311786
2015-10-03,1443844800000,239.0891,20.94,0.8521,67.2911170105712,63.74535151020178,307.4568484897982,482.3204221261418,61.71672851179871,-61.71672851179871,-100.0,66.45930617446136,311.91556682553863,469.3331675878977,57.31886886601036,-57.31886886601036,-100.0,61.151439512352255,302.8780874876477,495.29183597790535,66.23463082399705,-66.23463082399705,-100.0,118.47030837836262,245.55921862163734,207.27490455869042
