Datetime,Price,Timestamp,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI
2017-04-21,48.27,1492747200000,14.63,0.98833,104.27416938374664,5.752687686135314,93.97731231386469,1633.6244454980856,5.713492630530072,-5.713492630530072,-100.0,,,,11.466180316665387,88.2638196833346,769.7752629535102
2017-04-22,48.41,1492833600000,10.84,0.99056,103.64849551722631,5.735165927798692,106.24483407220129,1852.5154356428693,5.6957685352959295,-5.6957685352959295,-100.0,,,,11.430934463094623,100.54906553690537,879.6224478544021
2017-04-23,48.75,1492920000000,10.84,0.99111,72.97144910244569,4.079482117474053,116.67051788252594,2859.9345339149654,4.039786003867228,-4.039786003867228,-100.0,,,,8.119268121341282,112.63073187865872,1387.2030113479293
2017-04-24,49.94,1493006400000,10.76,0.99111,71.55737576028102,4.0987598490269725,138.99124015097306,3391.055960108737,4.058094743108518,-4.058094743108518,-100.0,,,,8.156854592135492,134.93314540786452,1654.2301187759506
2017-04-25,50.09,1493092800000,10.85,0.99222,71.56724245430124,4.1116539976107305,123.12834600238928,2994.618371923775,4.070821088488518,-4.070821088488518,-100.0,,,,8.182475086099249,119.05752491390076,1455.030704782236
2017-04-26,53.28,1493179200000,10.85,0.99278,73.81501312552264,4.509693953433602,105.04030604656641,2329.211408383724,4.4662360821348095,-4.4662360821348095,-100.0,,,,8.97593003556841,100.5740699644316,1120.4863403111701
2017-04-27,63.14,1493265600000,10.36,0.99278,93.8869362140926,6.78267965285195,86.70732034714806,1278.3637851846613,6.731179465280532,-6.731179465280532,-100.0,,,,13.513859118132483,79.97614088186751,591.808307181166
2017-04-28,72.42,1493352000000,10.82,0.995,103.0512151370829,8.530851778717567,91.90914822128245,1077.3736387094866,8.471650318504611,-8.471650318504611,-100.0,,,,17.002502097222177,83.43749790277784,490.7365835079628
2017-04-29,69.83,1493438400000,10.82,0.995,103.73765948354212,8.279960681715668,116.06003931828432,1401.6979521965054,8.222876478917122,-8.222876478917122,-100.0,,,,16.50283716063279,107.8371628393672,653.4462031571803
2017-04-30,79.83,1493524800000,10.11,0.995,110.74795344252165,10.097978528943278,138.6520214710567,1373.067105199779,10.032719587092958,-10.032719587092958,-100.0,,,,20.130698116036235,128.61930188396377,638.9212194360258
2017-05-01,77.53,1493611200000,10.59,0.995,111.85047168479231,9.903531464059355,141.20646853594062,1425.819355937721,9.840152712190935,-9.840152712190935,-100.0,,,,19.74368417625029,131.3663158237497,665.3586769878057
2017-05-02,77.25,1493697600000,10.68,0.99278,110.25333142052624,9.72842461048498,133.721575389515,1374.5450136437742,9.665415591006171,-9.665415591006171,-100.0,,,,19.39384020149115,124.05615979850884,639.6678456130129
2017-05-03,80.37,1493784000000,10.68,0.99167,102.97327410232771,9.460156058246127,132.20984394175386,1397.5440059100354,9.394675472555797,-9.394675472555797,-100.0,,,,18.854831530801924,122.81516846919806,651.3723989979057
2017-05-04,94.55,1493870400000,10.46,0.99167,114.17425339765605,12.325435710379734,117.42456428962026,952.7011218819016,12.248402123506267,-12.248402123506267,-100.0,,,,24.573837833886003,105.176162166114,428.0005543988807
2017-05-05,90.79,1493956800000,10.57,0.99278,116.36990310749107,12.060133380371141,142.10986661962886,1178.3440708120554,11.98608044990536,-11.98608044990536,-100.0,,,,24.0462138302765,130.12378616972353,541.1404351976823
2017-05-06,94.82,1494043200000,10.57,0.99444,114.41268890257486,12.386229449109967,140.54377055089006,1134.6775960216773,12.308760180931998,-12.308760180931998,-100.0,,,,24.694989630041967,128.23501036995805,519.2754169613318
2017-05-07,90.46,1494129600000,9.77,0.99411,116.08890182654514,11.987680196810805,161.81231980318918,1349.8217932627,11.913797625388248,-11.913797625388248,-100.0,,,,23.901477822199055,149.89852217780094,627.1516903384911
2017-05-08,88.39,1494216000000,9.96,0.99411,117.00160304572245,11.804318540669405,155.5756814593306,1317.9556356711812,11.73212662724866,-11.73212662724866,-100.0,,,,23.536445167918064,143.84355483208194,611.1524225763347
2017-05-09,86.27,1494302400000,9.96,0.98856,117.4342777101697,11.56310198303092,161.57689801696912,1397.3490699475492,11.493034777257025,-11.493034777257025,-100.0,,,,23.056136760287945,150.0838632397121,650.9497440968411
2017-05-10,87.83,1494388800000,10.21,0.98856,117.17649031402382,11.746673023189194,179.53332697681083,1528.3759633250434,11.675338808709974,-11.675338808709974,-100.0,,,,23.42201183189917,167.85798816810086,716.6676772807783
2017-05-11,88.2,1494475200000,10.6,0.98856,117.08069606402674,11.786633736732053,235.963366263268,2001.957229975748,11.714999013777847,-11.714999013777847,-100.0,,,,23.5016327505099,224.24836724949012,954.1820759011935
2017-05-12,85.15,1494561600000,10.6,0.98911,118.0955629562433,11.47646539292925,243.05353460707082,2117.8431362396486,11.407269373236899,-11.407269373236899,-100.0,,,,22.88373476616615,231.64626523383384,1012.2747340015728
2017-05-13,87.96,1494648000000,10.4,0.99244,116.5623025934048,11.703278478046155,294.9967215219539,2520.633189027585,11.63155839972474,-11.63155839972474,-100.0,,,,23.334836877770897,283.36516312222915,1214.3438782388357
2017-05-14,88.72,1494734400000,10.42,1.00078,113.60602539198618,11.50886029649564,287.86113970350436,2501.2132590675023,11.435912876411033,-11.435912876411033,-100.0,,,,22.94477317290667,276.42522682709335,1204.7415973303146
2017-05-15,90.32,1494820800000,10.42,1.00078,113.53154881007343,11.708824986769542,241.81117501323044,2065.2044529358536,11.6345620135725,-11.6345620135725,-100.0,,,,23.34338700034204,230.17661299965795,986.0463393606303
2017-05-16,87.8,1494907200000,10.65,0.99911,114.1928955826778,11.447593270506394,245.4324067294936,2143.965119391743,11.375522708975096,-11.375522708975096,-100.0,,,,22.82311597948149,234.0568840205185,1025.5255427477173
2017-05-17,86.98,1494993600000,15.59,1.00356,114.30081821746613,11.351407038038394,255.2785929619616,2248.8718103978376,11.279691702258859,-11.279691702258859,-100.0,,,,22.631098740297254,243.99890125970273,1078.157556819081
2017-05-18,95.88,1495080000000,14.66,1.00356,117.296387495538,12.836777714785129,259.3832222852149,2020.6256433533374,12.757724295671053,-12.757724295671053,-100.0,,,,25.594502010456182,246.62549798954385,963.5877966634762
2017-05-19,124.38,1495166400000,14.66,1.00994,141.56284707253315,20.044344614521226,207.10565538547885,1033.2373513247226,19.941141149861103,-19.941141149861103,-100.0,,,,39.98548576438233,187.16451423561764,468.0811315848443
2017-05-20,123.06,1495252800000,12.04,1.01711,142.33744883326264,19.9386705871252,215.2013294128748,1079.3163389330207,19.83583777629772,-19.83583777629772,-100.0,,,,39.77450836342292,195.36549163657708,491.18266868695565
2017-05-21,148.0,1495339200000,10.93,1.02939,150.72549611473548,25.36846259127531,177.16153740872468,698.3534645479614,25.243296600640136,-25.243296600640136,-100.0,,,,50.611759191915446,151.91824080808453,300.1639208627853
2017-05-22,160.39,1495425600000,10.93,1.02939,150.92001689347802,27.527058708755035,137.382941291245,499.0832574769424,27.39141429498495,-27.39141429498495,-100.0,,,,54.91847300373999,109.99152699626003,200.28147357405498
2017-05-23,169.5,1495512000000,10.72,1.02356,150.5327590697363,29.01692088182787,122.45307911817216,422.0057655905854,28.87438351580171,-28.87438351580171,-100.0,,,,57.89130439762958,93.57869560237044,161.6455123547054
2017-05-24,193.03,1495598400000,10.02,1.03272,153.49153765254746,33.683280030903056,100.13671996909694,297.2890997468938,33.519503568966776,-33.519503568966776,-100.0,,,,67.20278359986983,66.61721640013019,99.12865633181782
2017-05-25,177.33,1495684800000,10.02,1.03272,159.46272965360583,32.12414009730438,95.08585990269563,295.995035554818,31.973684313254427,-31.973684313254427,-100.0,,,,64.0978244105588,63.11217558944121,98.46227414084396
2017-05-26,162.83,1495771200000,9.99,1.04383,165.3287328892309,30.56079376591423,85.96920623408577,281.30554099013926,30.421154903835696,-30.421154903835696,-100.0,,,,60.981948669749926,55.548051330250075,91.08933469980218
2017-05-27,156.63,1495857600000,9.81,1.04467,160.21110324578004,28.505407439264783,68.54459256073523,240.4617183837143,28.370977493030097,-28.370977493030097,-100.0,,,,56.87638493229488,40.17361506770513,70.6332076406182
