Datetime,Timestamp,Price,VIX,2-Day-LIBOR,2-Day-VM,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Puts,103-Puts-P,103-Puts-ROI
2016-11-07,1478494800000,111.06,18.74,0.43899,9.487244517505529,2.230206796811863e-06,-2.230206796811863e-06,-100.0,3.329050654737088,3.272749345262909,98.30878784033926,,,
2016-11-08,1478581200000,110.88,14.38,0.43862333299999995,8.409689351894677,1.4296971588002286e-07,-1.4296971588002286e-07,-100.0,3.323655321608385,2.4527446783915963,73.7966016645993,,,
2016-11-09,1478667600000,107.79,14.74,0.43829666700000003,29.90510530320495,0.10246983491756899,-0.10246983491756899,-100.0,3.3335034933646317,1.98019650663538,59.402862801163366,,,
2016-11-10,1478754000000,108.43,14.17,0.43648833299999995,38.37095019166008,0.24123402469383134,-0.24123402469383134,-100.0,3.4914629178505554,1.0814370821494492,30.973752481243967,,,
2016-11-11,1478840400000,105.71,14.48,0.43690500000000004,35.162473806438214,0.1788135633516159,0.929886436648383,520.031265648384,3.3475069762305907,-3.3475069762305907,-100.0,,,
2016-11-14,1479099600000,107.11,13.37,0.436811667,43.28591241687224,0.3360443248001665,-0.3360443248001665,-100.0,3.5467037808073063,-3.173403780807305,-89.4747342019347,,,
2016-11-15,1479186000000,109.99,13.72,0.437736667,15.014815505014493,0.00151098387167109,-0.00151098387167109,-100.0,3.298493698339968,-0.06879369833997373,-2.085609512444893,,,
2016-11-16,1479272400000,109.95,13.35,0.4372316670000001,30.191632914983753,0.10843247557856016,-0.10843247557856016,-100.0,3.4042193118910404,-1.8857193118910371,-55.39359069212031,,,
2016-11-17,1479358800000,110.06,12.85,0.436908333,1.5307384520173517,2.1755520987497153e-152,-2.1755520987497153e-152,-100.0,3.2990861302901067,-1.7372861302901017,-52.659617290359506,,,
2016-11-18,1479445200000,111.73,12.42,0.43867,15.781884641617891,0.002432090043384072,-0.002432090043384072,-100.0,3.3515659327636342,0.5003340672363663,14.928367135651147,,,
2016-11-21,1479704400000,111.8,12.41,0.438021667,16.201295027968705,0.0030591200688406817,-0.0030591200688406817,-100.0,3.3542953205215724,0.009704679478417688,0.2893209616650173,,,
2016-11-22,1479790800000,111.23,12.43,0.438021667,6.440603101769452,2.4148223629643398e-11,-2.4148223629643398e-11,-100.0,3.3341502914048253,-0.3372502914048141,-10.115029675603363,,,
2016-11-23,1479877200000,111.79,12.34,0.43774333299999996,11.37472765169338,5.4174046275452796e-05,-5.4174046275452796e-05,-100.0,3.350992377743225,0.3327076222567911,9.92862963421176,,,
2016-11-25,1480050000000,111.57,13.15,0.43783166700000004,7.848384193769793,2.2369892923420536e-08,-2.2369892923420536e-08,-100.0,3.344343105004171,1.0527568949958237,31.47873474526504,,,
2016-11-28,1480309200000,111.46,12.9,0.43822,1.103976251562544,6.472234845637997e-289,-6.472234845637997e-289,-100.0,3.341043357960231,1.9727566420397693,59.046125137513144,,,
2016-11-29,1480395600000,110.52,13.33,0.43868666700000003,8.399498074167138,1.381955120347483e-07,-1.381955120347483e-07,-100.0,3.3128638335512903,0.6227361664487034,18.797517728977986,,,
2016-11-30,1480482000000,109.49,14.07,0.43831333299999997,1.0035092376029089,0.0,-0.0,,3.2819915035042433,0.3827084964957521,11.660861890931985,,,
2016-12-01,1480568400000,109.9,14.12,0.43859,14.70574588411586,0.001232717577870357,-0.001232717577870357,-100.0,3.295512362746777,-0.04851236274677717,-1.4720734564728684,,,
2016-12-02,1480654800000,109.11,12.14,0.43517,12.293538174606642,0.00015749249596416767,-0.00015749249596416767,-100.0,3.2707777523541783,-1.917477752354188,-58.624519840091935,,,
2016-12-05,1480914000000,109.95,11.79,0.43915,16.70666831804386,0.0038894454625376658,-0.0038894454625376658,-100.0,3.299664378042493,-2.1711643780424907,-65.79955199354309,,,
2016-12-06,1481000400000,111.03,12.22,0.43924333299999996,2.3634725894875728,3.5628446572285193e-66,-3.5628446572285193e-66,-100.0,3.3281475803623266,-2.917247580362329,-87.6537926856217,,,
2016-12-07,1481086800000,112.12,12.64,0.4402566670000001,0.006091607169210175,0.0,-0.0,,3.3608141473106063,-1.1772141473105933,-35.02764793621881,,,
2016-12-08,1481173200000,113.95,11.75,0.443688333,7.207260714738872,1.6274726947462008e-09,-1.6274726947462008e-09,-100.0,3.4156466097863074,-1.2371466097863075,-36.21998265984862,,,
2016-12-09,1481259600000,113.3,12.64,0.455305,24.594606643358393,0.04616009814252386,-0.04616009814252386,-100.0,3.442248702229889,-1.9332487022298888,-56.16237725581915,,,
2016-12-12,1481518800000,115.19,12.72,0.46321999999999997,24.99168050279728,0.0506879935190403,-0.0506879935190403,-100.0,3.503376576331263,-0.6776765763312653,-19.343526496969627,,,
2016-12-13,1481605200000,115.19,13.19,0.47173999999999994,18.570336782924237,0.009084549298972622,-0.009084549298972622,-100.0,3.461717743866245,-0.7860177438662532,-22.706003262657212,,,
2016-12-14,1481691600000,115.82,12.79,0.47636166700000004,6.1224622248249885,2.8186999299619932e-12,-2.8186999299619932e-12,-100.0,3.471486211900213,-0.8168862119002256,-23.531310857578788,,,
2016-12-15,1481778000000,115.97,12.2,0.47956833299999996,4.669641948633699,3.0141325111535748e-19,-3.0141325111535748e-19,-100.0,3.4759611916095707,-0.9768611916095722,-28.103339990318734,,,
2016-12-16,1481864400000,116.64,11.71,0.683056667,5.013584561091952,4.815828514006057e-17,-4.815828514006057e-17,-100.0,3.494703542693088,-0.415503542693088,-11.889521889827963,,,
2016-12-19,1482123600000,116.95,11.45,0.687315,3.48704492241423,3.610381155296775e-32,-3.610381155296775e-32,-100.0,3.5039634863062616,0.6645365136937329,18.965280782485,,,
2016-12-20,1482210000000,117.06,11.27,0.684768333,1.924065672247438,7.952217350043476e-98,-7.952217350043476e-98,-100.0,3.507276043750565,0.5445239562494351,15.525551723243867,,,
2016-12-21,1482296400000,116.29,11.43,0.687316667,8.46327361617271,1.7788518866446905e-07,-1.7788518866446905e-07,-100.0,3.484189254781853,-0.9654892547818577,-27.71058585456511,,,
2016-12-22,1482382800000,116.52,11.44,0.68963,9.625877605419682,3.1633067520764682e-06,-3.1633067520764682e-06,-100.0,3.491068106075943,-0.23546810607595606,-6.744872884781063,,,
2016-12-23,1482469200000,117.26,11.99,0.690706667,4.888361620328356,8.717469368693878e-18,-8.717469368693878e-18,-100.0,3.51322901627006,0.5345709837299353,15.21594468377359,,,
2016-12-27,1482814800000,116.76,12.95,0.696723333,11.902853835946221,0.0001095696059951884,-0.0001095696059951884,-100.0,3.4983184299092898,0.9444815700907156,26.99815894447338,,,
2016-12-28,1482901200000,116.73,13.37,0.696723333,4.508145513439891,1.9737705437784838e-20,-1.9737705437784838e-20,-100.0,3.4973100399383696,0.5845899600616207,16.715417088726927,,,
2016-12-29,1482987600000,115.82,14.04,0.696723333,8.496567057111628,1.9544812494037465e-07,-1.9544812494037465e-07,-100.0,3.4700460176503185,-0.1954460176503261,-5.632375382233951,,,
2016-12-30,1483074000000,116.15,12.85,0.691355,11.978741709057386,0.00011897724820464363,-0.00011897724820464363,-100.0,3.4800870132405493,-0.455587013240546,-13.091253509098827,,,
2017-01-03,1483419600000,116.02,11.85,0.694071667,4.450776216822808,6.843474878951136e-21,-6.843474878951136e-21,-100.0,3.476055320357645,-1.8854553203576498,-54.24123457746522,,,
2017-01-04,1483506000000,116.61,11.67,0.697313333,6.9508537360449125,4.829276099664694e-10,-4.829276099664694e-10,-100.0,3.493710876156612,-2.3754108761566077,-67.99105479414389,,,
