Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI
2014-09-11,1410408000000,101.66,13.31,0.1535,18.680445546735896,2.178030905181956,1.3819690948180463,63.450389594108856,2.1652058429991285,-2.1652058429991285,-100.0,4.343236748181083,-0.783236748181082,-18.0334804108732,0.08626023393575899,-0.08626023393575899,-100.0,10.238152665534644,-3.632152665534648,-35.47664099366089,10.324412899470403,-3.718412899470394,-36.01573218425943
2014-09-12,1410494400000,101.63,14.12,0.1535,18.66241890923301,2.1752936827911213,1.3047063172088826,59.97839866545343,2.1624724053010382,-2.1624724053010382,-100.0,4.3377660880921605,-0.8577660880921556,-19.77437396744044,0.08578273269919601,-0.08578273269919601,-100.0,10.234679327460114,-3.5516793274601213,-34.70239969249259,10.32046206015931,-3.6374620601593026,-35.24514734859801
2014-09-15,1410753600000,100.86,12.73,0.1536,18.739769356068095,2.1677357346716017,3.712264265328393,171.25077591115033,2.155003308812056,-2.155003308812056,-100.0,4.322739043483659,1.5572609565163376,36.024866198292514,0.08706778281374382,-0.08706778281374382,-100.0,10.159062114368254,-5.953062114368252,-58.598540370657474,10.246129897181998,-6.040129897181981,-58.95035450256396
2014-09-16,1410840000000,101.58,12.65,0.1536,18.689591523138045,2.177383156228011,3.5826168437719943,164.5377311533143,2.1645598385717264,-2.1645598385717264,-100.0,4.341942994799736,1.418057005200268,32.659503058852856,0.08642244413199318,-0.08642244413199318,-100.0,10.230316794710092,-5.8323167947100965,-57.01012893096213,10.316739238842086,-5.918739238842075,-57.3702514119798
2014-09-17,1410926400000,101.79,12.03,0.1536,18.653619531264575,2.177698438184656,3.0123015618153417,138.32500905526734,2.1648486104209823,-2.1648486104209823,-100.0,4.342547048605638,0.8474529513943594,19.515112718616844,0.08569760608626442,-0.08569760608626442,-100.0,10.25056279554623,-5.261562795546227,-51.32950161363164,10.336260401632494,-5.347260401632475,-51.73302716703941
2014-09-18,1411012800000,100.96,12.11,0.1535,18.78239100971113,2.1748003887805467,4.86519961121946,223.70786929771853,2.162063636095347,-2.162063636095347,-100.0,4.336864024875894,2.7031359751241126,62.32927662982164,0.08823165777970221,-0.08823165777970221,-100.0,10.170221229825984,-7.114221229825986,-69.9514894421595,10.258452887605685,-7.202452887605688,-70.20993288673897
2014-09-19,1411099200000,101.06,13.69,0.153,18.784935478598648,2.177228131677893,6.16277186832211,283.05586257388364,2.1645202896260898,-2.1645202896260898,-100.0,4.341748421303983,3.9982515786960207,92.0885134448947,0.0883820434896343,-0.0883820434896343,-100.0,10.180403417232641,-8.414403417232634,-82.65294676819339,10.268785460722276,-8.50278546072227,-82.8022505022148
2014-09-22,1411358400000,102.64,14.93,0.1535,18.919301727023747,2.2270550064964496,3.7329449935035437,167.61799697871518,2.2141063110169625,-2.2141063110169625,-100.0,4.441161317513412,1.5188386824865816,34.19913337750525,0.09327261839242064,-0.09327261839242064,-100.0,10.343029053364988,-6.0390290533649695,-58.3874319815455,10.436301671757409,-6.132301671757393,-58.75933702024494
2014-09-23,1411444800000,101.75,13.27,0.154,19.173318236593502,2.2373126554104767,4.872687344589521,217.79197166770308,2.2244344293647127,-2.2244344293647127,-100.0,4.4617470847751886,2.64825291522481,59.35461748294604,0.09924827426096704,-0.09924827426096704,-100.0,10.260082225610603,-7.195082225610605,-70.12694506142135,10.35933049987157,-7.294330499871558,-70.41314590708338
2014-09-24,1411531200000,97.87,15.64,0.1545,22.22010634420462,2.4928933438479106,8.337106656152088,334.43495192952497,2.480465983601789,-2.480465983601789,-100.0,4.9733593274497006,5.8566406725503,117.76025593456444,0.1941127826821436,0.8488872173178486,437.3164948688037,9.967442686411417,-9.967442686411417,-100.0,10.16155546909356,-9.118555469093568,-89.73582338676117
